width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,partial_data_flag,lambda,lambda_diff,is_reflected
123.0,1054.25,1.0682120205867889,123.0,130144,1,1,3407.1421229282273,999.2005318031914,0.00199143766999,34.5,86.06,51.56,58.086893203883506,23.586893203883495,51.56,0.0646260162601784,0.4186666666608535,0.0025447154472284,0.307666666666937,-8.769063178544807e-06,0.0108999999996521,1.105664488220171e-05,0.0141333333333807,6150.000000000183,3046.446122474677,3320.574792085588,3543.9388932500347,2660.6354022815417,2620.02374752437,35.0,44.07969298345895,42.02530964155978,45.015083218251334,44.09756115675233,18192000191,18192000190411,422.898,2214.890219438547,6.756088,497.4927707753577,426.42237495030713,0.009197464238844768,0.022592579504394507,4.618504700119965,11.344858965386527,7.981681832753246,0.5900115057870459,0.728462943414997,0.6592372246010214,6.756088,0.3040788311074646,0.13580670670645598,0.2199427689069603,1.755513235795215,false,false,false,POINT (5331933.4499430815 -1764773.729259652),ANJOBONY,,,40.09352273933765,44.07969298345895,false,false,1.7555132028301306,-3.296508443995094e-08,false
127.0,0.0,1.0313320541879218,127.0,129942,1,1,3415.057852201373,1084.583956271042,0.00199143766999,34.5,85.57,51.06999999999999,54.67014150943396,20.17014150943396,51.06999999999999,0.0544770932069417,0.4210000000003319,-0.0024865718799407,0.2969999999985457,-5.555555555827806e-06,0.012766666666694,5.555555555999667e-06,0.0140333333332756,6329.999999999933,3166.1797849462027,3545.5260215053386,4104.562580645118,3002.4619354838387,2866.695913978464,34.5,43.76419326166071,37.5,46.09352516129026,43.42,18192000191,18192000190401,422.898,2214.890219438547,6.771028,938.3827956989152,299.48387096773877,0.011205337375599249,0.019692152071291748,5.626757766240063,9.888409950280106,7.757583858260085,0.5653318407579718,0.909346302906864,0.737339071832418,6.771028,0.9251465599700234,0.39484774856790683,0.6599971542689651,5.119983297732815,false,false,false,POINT (5331794.031346683 -1764607.5569931252),ANJOBONY,,,39.9363149732651,43.76419326166071,false,false,5.119983270454514,-2.7278300507305175e-08,false
130.5,1248.138888888889,1.0313320541879218,130.5,129738,1,2,3424.556727329147,1084.583956271042,0.00199143766999,34.0,75.02,41.02,47.555183486238526,13.555183486238532,41.02,0.0510153609831289,0.3419999999999846,0.0014454685099933,0.3043333333354324,3.7551440339396143e-06,0.0102666666666578,3.755144033268203e-06,0.0101444444445843,6509.99999999993,3268.5333333332983,3695.626666666627,4040.586666666624,3079.626666666634,2681.279999999971,34.0,44.391804444444965,39.113751111112904,48.55,40.08008000000012,18192000191,18192000190391,422.898,2214.890219438547,6.712313,772.0533333333256,587.2533333333272,0.015300479238264232,0.02126268571446296,7.683132376591562,10.677053083248008,9.180092729919785,0.6874311526230426,1.3069187921397625,0.9971749723814025,6.712313,0.7863240783515401,1.26184818854542,1.02408613344848,9.401205693468484,false,false,false,POINT (5331622.400729907 -1764483.5875977667),ANJOBONY,,,39.77755069465718,44.391804444444965,false,false,9.401205668482055,-2.4986428925899418e-08,false
161.5,82.55555555555557,1.0402335204045725,551.0,129534,2,2,3434.055602456922,1530.9736185109325,0.00199143766999,34.0,82.3,48.3,46.20296296296296,12.202962962962964,48.3,0.0411486988847581,0.3106666666663273,0.0004547707558799,0.2903333333330165,-8.126036484565108e-06,0.0096777777777566,8.126036484743977e-06,0.0096777777777566,8069.999999999901,4036.504086021456,4404.830662739109,4795.026236559081,3756.512688171997,2163.1070967741675,34.0,42.60018785022862,38.94160544802842,43.432448458785686,36.34310709677416,18192000191,18192000190381,422.898,2214.890219438547,5.696981,758.5221505376248,1873.3969892472885,0.009376278559510067,0.004449175649837628,4.708296272992139,2.2341526008494,3.471224436920769,0.9504459324067832,0.6694179554607027,0.8099319439337429,5.696981,0.6421967007087092,1.2444031956595123,0.9432999481841107,7.285002867734757,false,false,false,POINT (5331434.886180599 -1764427.6961751515),ANJOBONY,39.68688072758863,39.68688072758863,39.61878641604926,43.432448458785686,false,false,3.27440583148278,-2.0977156900414684e-08,false
205.0,122.0,1.0847408514878265,551.0,129349,2,2,3445.1376234393256,3762.921929710388,0.00199143766999,33.5,70.76,37.260000000000005,44.496403508771934,10.996403508771929,37.260000000000005,0.0388866080156497,0.3513333333344197,0.0012248289344996,0.3513333333344197,2.3856209152195025e-06,0.0099333333333959,2.3856209144185524e-06,0.0112444444445151,10229.999999999804,5120.719999999901,4810.959999999908,3145.9999999999404,5469.199999999895,5701.519999999891,33.5,39.1802666666634,36.11599999999997,42.291466666666565,39.754693333331666,18192000191,18192000190371,422.898,2214.890219438547,4.3450837,1974.7199999999607,580.7999999999902,0.0018404446141787449,0.01091930665640339,0.9241788693230788,5.483127501780269,3.203653185551674,0.0,0.7160274689244068,0.3580137344622034,4.3450837,0.705226154024013,0.5838261144048617,0.6445261342144373,2.064838210783898,false,false,false,POINT (5331231.955523111 -1764382.603875063),ANJOBONY,39.68688072758863,39.68688072758863,39.1802666666634,39.1802666666634,false,false,2.0648382030473877,-7.73651009922105e-09,false
236.5,137.13888888888889,1.0847408514878265,236.5,129129,1,2,3454.6364985671,3762.921929710388,0.00199143766999,33.0,72.65,39.650000000000006,47.96055696202532,14.960556962025317,39.650000000000006,0.0445896785109616,0.3873333333344608,-0.0005355329948797,0.3873333333344608,1.9988690980080105e-05,0.0090999999997589,-1.9988690978688505e-05,0.012222222222173,11819.999999999864,5849.501935483803,5446.859354838648,4171.824516128984,6207.406451612832,6475.834838709602,33.49169892472817,41.6856197849462,37.02,40.83109677419074,44.78434580645517,18192000191,18192000190361,422.898,2214.890219438547,4.046834,1677.677419354819,626.3329032257989,0.003659209646387855,-0.01472738803929806,1.837471341197553,7.395354753619787,4.61641304740867,0.5891559803700503,0.3779976280390417,0.483576804204546,4.046834,1.152906144642008,0.01,0.581453072321004,2.684227557880589,false,false,false,POINT (5331028.484584305 -1764297.5464005254),ANJOBONY,38.86704551777473,38.86704551777473,39.301402743125365,40.83109677419074,false,false,2.68422754951854,-8.36204927523454e-09,false
360.0,542.25,1.0847408514878265,551.0,128918,2,3,3460.9690819856164,3762.9219297103873,0.00199143766999,29.9,90.23,60.330000000000005,50.39505,20.49505,60.330000000000005,0.0541964385086328,0.4756666666701423,-0.0012248191429892,0.4756666666701423,-7.190635449717882e-06,0.0158555555557872,-7.190635450184794e-06,0.0171111111108114,17970.0000000003,8961.04000000015,8552.947096774336,7396.683870967866,,,33.0,41.03,37.85,,,18192000191,18192000190351,422.898,2214.890219438547,3.2889214,1564.356129032284,,0.0027502388091879115,,1.3810318297342048,,1.3810318297342048,0.5770989389164525,,0.5770989389164525,3.2889214,0.9668823341293592,,0.9668823341293592,1.3352952801544695,false,false,true,POINT (5330871.076001181 -1764166.069221744),ANJOBONY,38.75294366765404,38.75294366765404,39.13196637278145,41.03,true,true,1.3352952790403476,-1.1141219058430352e-09,false
317.0,184.96,1.0847408514878265,551.0,128748,3,3,3468.8848112587616,3762.9219297103873,0.00199143766999,25.5,89.99,64.49,48.54839319470699,23.048393194706993,64.49,0.0480164141413967,0.4756666666660036,-0.0020820707070902,0.4756666666660036,-5.355260384941415e-06,0.0155333333332882,5.355260383221548e-06,0.0186999999994698,15840.000000000036,7928.856774193568,7539.158709677438,6669.832258064533,,,32.5,40.8745187096798,38.546890322580246,,,18192000191,18192000190341,422.898,2214.890219438547,3.831782,1259.024516129035,,0.002677507833913803,,1.3445099860580862,,1.3445099860580862,0.4911001195769153,,0.4911001195769153,3.831782,0.6074532390150461,,0.6074532390150461,0.8167269468371443,false,false,true,POINT (5330729.13040015 -1764027.0717009353),ANJOBONY,39.69179733043327,39.69179733043327,38.992729620187006,40.8745187096798,true,true,0.816726945919059,-9.180852744705703e-10,false
338.0,477.36,1.0847408514878265,551.0,128536,3,3,3476.8005405319072,3762.9219297103873,0.00199143766999,22.0,92.27,70.27,47.66652482269503,25.666524822695035,70.27,0.0515038484310322,0.3816666666650234,-0.0005600947306141,0.3816666666650234,-4.250691972587787e-06,0.0125666666666925,4.2506919741477926e-06,0.0164000000004724,16889.99999999973,8454.443870967607,8038.9135483869695,6664.467096774087,,,32.0,40.66651870967759,36.3889341935476,,,18192000191,18192000190331,422.898,2214.890219438547,3.831782,1789.9767741935202,,0.0031122234758568556,,1.562802352670412,,1.562802352670412,0.48314227637434326,,0.48314227637434326,3.831782,1.1163433922206407,,1.1163433922206407,1.7446240809741569,false,false,true,POINT (5330571.414972856 -1763872.6296283917),ANJOBONY,38.79422578141276,38.79422578141276,38.81522234848508,40.66651870967759,true,true,1.7446240797504857,-1.2236711643964782e-09,false
360.0,176.4,1.0847408514878265,360.0,128324,1,1,3484.7162698050524,3762.9219297103873,0.00199143766999,22.0,90.05,68.05,48.552262895174714,26.55226289517471,68.05,0.0541505555555465,0.4693333333342723,-0.0014027777777248,0.3663333333340967,-8.718234103973703e-07,0.015644444444507,8.718234101084527e-07,0.0169444444443269,18000.000000000426,9010.064516129243,8533.161290322783,7306.838709677593,,,32.0,40.92,36.30051612903314,,,18192000191,18192000190321,422.898,2214.890219438547,3.2889214,1703.22580645165,,0.003766940232617691,,1.891568232028375,,1.891568232028375,0.6954755973768286,,0.6954755973768286,3.2889214,1.404558914350115,,1.404558914350115,2.656819024482436,false,false,true,POINT (5330432.373383659 -1763717.931872205),ANJOBONY,37.98788190580752,37.98788190580752,38.63263472913397,40.92,true,true,2.656819022396941,-2.0854953319826564e-09,false
