width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,partial_data_flag,lambda,lambda_diff,is_reflected
148.5,482.25,1.0903743900316936,148.5,589876,1,1,38361.80353342514,4158.232825037368,0.0009566815400004,82.83,284.83,202.0,126.52784848484846,43.69784848484849,202.0,0.0978948432760465,0.8559999999936941,-0.0033110886417353,0.8309999999938783,-1.0672514619594575e-05,0.0261666666674298,-1.0672514619205116e-05,0.0254888888890779,29670.0000000004,14801.844006954248,15388.137940060198,15468.087112756464,,,84.0,87.29972438162815,87.0,,,61204500101,61204500100471,1849.435,11002.649666454192,11.366408,666.2431058022157,,0.0037489365777166367,,3.9186881119448267,,3.9186881119448267,0.3674372651453581,,0.3674372651453581,11.366408,0.02636931400211505,,0.02636931400211505,0.1033331185916752,false,true,true,POINT (-8387174.024889776 847014.887204303),COLOMBIA_2011_2,,,83.12328214414457,87.29972438162815,true,true,0.1033331173002285,-1.2914466995805896e-09,false
175.5,60.47222222222222,1.0903743900316936,175.5,589686,1,1,38369.92098303705,4158.232825037368,0.0009566815400004,82.8,651.1,568.3000000000001,139.93014517506407,57.13014517506405,568.3000000000001,0.1189005698006125,1.0903333333361795,-0.0157284900285922,0.9876666666667872,-1.1130120708795898e-05,0.0363444444446342,1.2460792695035002e-05,0.041133333333469,35099.99999999975,17536.66136270508,18098.40905675113,18185.981891184165,,,83.5,87.23,87.0,,,61204500101,61204500100461,1849.435,11002.649666454192,11.688836,649.3205284790856,,0.002626385212522677,,2.7453077149597545,,2.7453077149597545,0.3620536285655753,,0.3620536285655753,11.688836,0.019676895115989648,,0.019676895115989648,0.0540191325847045,false,true,true,POINT (-8387031.817977476 847122.6794800214),COLOMBIA_2011_2,,,82.99801415043845,87.23,true,true,0.05401913196838029,-6.163242069479047e-10,false
197.0,693.4722222222222,1.0903743900316936,197.0,589498,1,1,38378.03843264897,4158.232825037368,0.0009566815400004,82.82,850.07,767.25,165.4027929984779,82.58279299847794,767.25,0.1404023863925261,1.324333333361673,-0.0155316070069706,0.963333333351739,6.216124661095119e-06,0.0312333333331171,7.85907858987469e-06,0.0441444444451282,39389.99999999989,19631.192681201705,19495.6766757176,19469.975364332684,20215.31339449525,20311.10919147539,83.5,85.39550116240082,85.25046807768481,88.91910275227619,87.0,61204500101,61204500100451,1849.435,11002.649666454192,10.5835905,161.21731686902058,679.9165102736843,0.005643022525227854,0.020033266518371368,5.898538112510768,20.940371148337398,13.419454630424083,0.2382401470435084,0.5711707585353984,0.4047054527894534,10.5835905,0.013703580530256214,0.18132813739119902,0.09751585896072762,1.308609666904062,false,false,false,POINT (-8386938.102563728 847297.4790659582),COLOMBIA_2011_2,,,82.8740647671924,85.39550116240082,false,false,1.308609645070318,-2.1833744145993705e-08,false
186.5,931.5833333333334,1.0903743900316936,186.5,589278,1,1,38386.15588226089,4158.232825037368,0.0009566815400004,80.0,590.34,510.34,148.74057073954987,68.74057073954984,510.34,0.1219364440868897,1.2456666666764336,-0.0131297935102954,1.2456666666764336,-1.984254785974659e-05,0.0357000000005598,2.023617820646043e-05,0.0445777777784764,37289.99999999983,18663.55136421791,18508.376817022185,18482.514392489564,,,83.5,85.06,85.06,,,61204500101,61204500100441,1849.435,11002.649666454192,10.648499,181.03697172834657,,0.0,,0.0,,0.0,0.21890241662343926,,0.21890241662343926,10.648499,0.01,,0.01,0.0,false,true,true,POINT (-8386785.842960899 847457.0875782464),COLOMBIA_2011_2,,,82.72901761658531,85.06,true,true,0.0,0.0,false
246.0,145.84,1.0903743900316936,246.0,589071,1,1,38392.920423604155,4158.232825037367,0.0009566815400004,80.0,698.65,618.65,214.82897623400365,134.82897623400365,618.65,0.1433203252031909,1.082999999982008,-0.0018426829268695,1.0193333333426018,-5.328452311299537e-06,0.0339777777783957,-8.826520237602556e-06,0.0385777777781748,49199.99999999971,24614.15118147112,24391.476208048007,24297.388191108665,24780.373344730622,24808.59974981243,83.0,87.40684027997669,86.49223617783326,84.00987555175637,84.00046675006259,61204500101,61204500100431,1849.435,11002.649666454192,10.110646,316.76299036245473,194.44856834131133,0.00972072876200949,0.00033333332151853977,10.16088254614532,0.34842662639690986,5.254654586271115,0.4761613026355344,0.14018233628250815,0.3081718194590213,10.110646,0.09045951189898535,0.01,0.05022975594949267,0.263940020486886,false,false,false,POINT (-8386688.886480657 847618.6844027992),COLOMBIA_2011_2,,,82.59254143396863,84.00987555175637,false,false,0.26394001746728046,-3.019605510079515e-09,false
232.5,153.13888888888889,1.0330775040492683,232.5,588901,1,1,38401.037873216075,1803.4568694394595,0.0009566815400004,80.0,639.85,559.85,190.8144809800129,110.8144809800129,559.85,0.1326432258064977,1.1440000000183832,-0.0046264516129407,1.076666666683981,1.3341941096993282e-06,0.03367777777886,6.80008607433946e-06,0.0381333333335033,46500.00000000125,23240.998004745685,22980.851280836418,22950.139514819348,23430.688324262857,23490.3052818254,83.0,86.6126906229923,86.59018601975966,83.89045888284174,83.92061056365058,61204500101,61204500100421,1849.435,11002.649666454192,10.132346,290.8584899263369,249.30727707971528,0.0007327681022110939,-0.0005057567768609137,0.7659477805025773,0.5286574013550028,0.6473025909287901,0.4078256575825066,0.13915821654929267,0.27349193706589964,10.132346,0.01,0.01,0.01,0.0064730260783082,false,true,false,POINT (-8386613.5303994715 847786.3597690684),COLOMBIA_2011_2,,,82.48045954486317,83.89045888284174,false,false,0.0064730259092879005,-1.6902029949250608e-10,false
256.0,783.4722222222223,1.0047787994898312,256.0,588702,1,1,38409.155322827995,685.8196620280773,0.0009566815400004,82.25,838.23,755.98,206.2006971294669,123.9506971294669,755.98,0.1352891754591269,1.1959999999869468,-0.0025205158265235,1.1433333333501428,-1.1665037491988684e-06,0.0398666666657964,-1.166503748840882e-06,0.0464999999990153,51180.00000000056,25585.27526535696,25981.25139601651,26254.530697457605,25289.687449512512,25259.0132422079,83.0031498230955,85.04828679945577,83.53155255422831,86.12,86.12888082012853,61204500101,61204500100411,1849.435,11002.649666454192,10.110646,669.2554321006464,326.2620231490582,0.005550124841797621,-0.0002895207609054896,5.801434029755922,0.3026302367090396,3.0520321332324807,0.2669491868689531,0.3729476655562456,0.31994842621259934,10.110646,0.1500135842187981,0.01,0.08000679210939905,0.24418330163625,false,false,false,POINT (-8386510.735955678 847969.2950146716),COLOMBIA_2011_2,,,82.34925780408675,85.04828679945577,false,false,0.2441833003947368,-1.241513197802746e-09,false
381.0,510.16,1.006527491648709,381.0,588480,1,1,38415.91986417126,984.5735139659334,0.0009566815400004,82.42,805.11,722.69,254.90081102362208,172.48081102362204,722.69,0.1545939346198902,1.7236666666818603,-0.003219115137057,1.7236666666818603,-8.53690574287173e-07,0.0451777777761447,-2.3421766846861584e-06,0.1068888888895087,76169.99999999929,38078.6098813129,38581.766791819646,38612.6623915876,37712.276341207114,37672.55342721974,82.5,88.44521763326422,87.5129458080527,90.4149602467156,90.3166629735542,61204500101,61204500100401,1849.435,11002.649666454192,9.019882,534.0525102746979,406.0564540931591,0.030174905230474756,0.0024745735098402476,31.541222411861465,2.5866219910956083,17.063922201478537,0.6920628117066062,0.9104406569016463,0.8012517343041263,9.019882,0.10335743030912324,0.010897844690362101,0.05712763749974267,0.974821592856661,false,false,false,POINT (-8386373.213194161 848137.0199173138),COLOMBIA_2011_2,81.32463012114412,81.32463012114412,82.2028920430196,88.44521763326422,false,false,0.9748215618498768,-3.100678425127512e-08,false
358.0,635.8055555555555,1.0065274916487092,1080.0,588291,2,2,38424.03731378318,984.5735139659336,0.0009566815400004,82.4,626.54,544.14,263.7579430247172,181.35794302471723,544.14,0.1567581726739092,1.1640000000119968,0.000186784017982,1.0653333333146002,1.5979501505312269e-06,0.032699999998739,-1.5979501458355496e-06,0.0395111111101345,71580.00000000036,35819.66935963944,35196.7389482402,33129.14013593634,,,82.50022042690723,92.23130106832538,89.60964898914897,,,61204500101,61204500100391,1849.435,11002.649666454192,9.395102,2690.5292237031026,,0.0012679694253583062,,1.3253829747334478,,1.3253829747334478,1.080671251159446,,1.080671251159446,9.395102,0.27904455738494527,,0.27904455738494527,0.3698409057249572,false,false,true,POINT (-8386279.89178241 848304.7106309731),COLOMBIA_2011_2,81.54643795503598,81.54643795503598,82.07828335454352,92.23130106832538,true,true,0.369840905550037,-1.7492018944409438e-10,false
353.5,1471.8055555555557,1.0366869628418944,1080.0,588086,2,2,38432.15476339509,1994.4305153794237,0.0009566815400004,82.43,667.29,584.8599999999999,253.89672889266015,171.46672889266014,584.8599999999999,0.1632072722129001,1.246000000024175,0.0042822580645027,1.246000000024175,6.213729655362467e-06,0.0356444444459908,6.213729656026878e-06,0.0400111111115599,70680.00000000169,35418.63275767827,34694.38190245245,34041.13603303308,,,82.45,89.84583897600558,87.02113603303229,,,61204500101,61204500100381,1849.435,11002.649666454192,9.395102,1377.4967246451924,,0.004324103788302388,,4.519898845649912,,4.519898845649912,0.8411578425604828,,0.8411578425604828,9.395102,0.3006569745568797,,0.3006569745568797,1.35893911430185,false,false,true,POINT (-8386204.343176623 848487.6260333107),COLOMBIA_2011_2,81.04682483076326,81.04682483076326,81.94307440589206,89.84583897600558,true,true,1.3589391122362355,-2.0656145682806937e-09,false
