width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,partial_data_flag,lambda,lambda_diff,is_reflected
84.0,98.0,1.31,84.0,850727.0,1.0,1.0,5663.86,3226.86,0.00088,501.0,521.69,20.69,512.44,11.44,20.69,0.01,0.2,0.0,0.19,0.0,0.01,0.0,0.01,8370.0,4259.84,4660.6,4921.96,3998.48,2970.47,501.0,507.85,507.75,511.25,502.86,12222000051.0,12222000050881.0,128.09,605.1089901241243,3.523931,662.1199999999999,1289.3700000000003,0.00038261401751380793,0.008161399200239866,0.4347886562656908,9.274317272999847,4.854552964632768,1.302111802066567,2.2669431325235614,1.7845274672950642,6.28855344688003,0.015901908259941117,1.3341701030087543,0.6750360056343477,3.276998045940056,false,false,false,POINT (3831818.5995950163 -1549260.0589472917),LILONGWE,,,503.26144655312,507.85,false,false,3.2769980423860847,-3.5539713394427963e-09,false
107.5,233.22,1.31,107.5,850542.0,1.0,1.0,5669.8,3226.86,0.00088,500.5,526.99,26.49,512.52,12.02,26.49,0.01,0.19,0.0,0.19,0.0,0.01,0.0,0.01,10740.0,5488.39,5890.83,6114.41,5197.74,4549.37,500.5,507.22,506.94,508.93,503.19,12222000051.0,12222000050871.0,128.09,605.1089901241243,3.3715825,626.0199999999995,939.0200000000004,0.0012523481471852648,0.008852969741269708,1.42312289452871,10.060192887806485,5.7416578911675975,1.2299741997338525,1.737154282920278,1.4835642413270653,5.00196071724838,0.055978048574931605,1.1475499957859785,0.601764022180455,3.4551231530871163,false,false,false,POINT (3832003.186239448 -1549134.6253345136),LILONGWE,502.91328135338046,502.91328135338046,503.07303928275167,507.22,false,false,3.4551231465731624,-6.5139538207859005e-09,false
123.0,200.24,1.31,123.0,850337.0,1.0,1.0,5676.73,3226.86,0.00088,500.5,535.78,35.28,513.41,12.91,35.28,0.01,0.18,0.0,0.17,0.0,0.01,0.0,0.01,12270.0,6219.17,5912.66,5223.01,,,500.5,506.73,503.16,,,12222000051.0,12222000050861.0,128.09,605.1089901241243,3.0902538,996.16,,0.005176538816535136,,5.882430473335382,,5.882430473335382,1.2509442073093844,,1.2509442073093844,3.8657363411700203,0.9234980570142768,,0.9234980570142768,5.43241312038254,false,false,true,POINT (3832203.4206592874 -1549044.1776992276),LILONGWE,502.8973596876865,502.8973596876865,502.86426365883,506.73,true,true,5.432413112646798,-7.73574182488801e-09,false
129.5,116.0,1.31,129.5,850110.0,1.0,1.0,5682.67,3226.86,0.00088,500.0,523.4,23.4,515.16,15.16,23.4,0.01,0.2,0.0,0.17,0.0,0.01,0.0,0.01,12930.0,6580.62,6230.7,5584.7,,,500.0,506.45,503.17,,,12222000051.0,12222000050851.0,128.09,605.1089901241243,2.958048,995.92,,0.00507739937294516,,5.769772014710409,,5.769772014710409,1.2934604089875499,,1.2934604089875499,3.826119269345213,0.8572654873253073,,0.8572654873253073,4.946226425473294,false,false,true,POINT (3832403.973073885 -1549007.90095254),LILONGWE,,,502.6238807306548,506.45,true,true,4.946226417946638,-7.526655743106403e-09,false
134.0,121.96,1.31,134.0,849928.0,1.0,1.0,5689.6,3226.86,0.00088,500.0,531.01,31.01,516.06,16.06,31.01,0.01,0.22,0.0,0.21,0.0,0.01,0.0,0.01,13380.0,6837.5,6419.7,5834.77,,,505.87,505.96,503.17,,,12222000051.0,12222000050841.0,128.09,605.1089901241243,2.9019644,1002.7299999999996,,0.004769801506556622,,5.420228984723434,,5.420228984723434,1.216020423309563,,1.216020423309563,2.9019644,0.9614177210443944,,0.9614177210443944,5.21110420676005,false,false,true,POINT (3832604.729277148 -1549006.2572504687),LILONGWE,,,502.4311508058623,505.96,true,true,5.211104198031576,-8.728473943619974e-09,false
129.0,34.16,1.31,129.0,849717.0,1.0,1.0,5694.56,3226.86,0.00088,500.0,544.3,44.3,515.3,15.3,44.3,0.01,0.21,0.0,0.21,0.0,0.01,0.0,0.01,12900.0,6565.35,6081.98,5598.6,6941.31,7532.1,500.0,506.34,503.28,511.38,510.31,12222000051.0,12222000050831.0,128.09,605.1089901241243,2.958048,966.75,966.75,0.006330423256381282,0.001811134240912776,7.193662791342366,2.0581070919463365,4.625884941644351,1.3969642937697324,3.1007900248512734,2.248877159310503,6.652288832221302,0.4599920534385788,0.16084689450303133,0.31041947397080505,1.4359647730633651,false,false,false,POINT (3832790.352589099 -1549057.18916165),LILONGWE,501.99155559280706,501.99155559280706,502.2077111677787,506.34,false,false,1.4359647702347076,-2.8286575304292683e-09,false
127.0,297.6,1.31,127.0,849542.0,1.0,1.0,5699.51,3226.86,0.00088,499.5,538.86,39.36,513.1,13.6,39.36,0.01,0.2,0.0,0.2,0.0,0.01,0.0,0.01,12690.0,6432.06,5956.55,5533.88,6854.73,7541.57,499.5,505.87,503.27,511.14,509.41,12222000051.0,12222000050821.0,128.09,605.1089901241243,3.0902538,898.1800000000003,1109.5099999999993,0.00615137103141612,0.00251878166309647,6.990194353881954,2.8622518898823524,4.926223121882153,1.2471247385895852,2.9524857334175785,2.099805236003582,6.488933209625202,0.40068219474710814,0.2666077680432598,0.33364498139518395,1.6436096252773575,false,false,false,POINT (3832945.5991149778 -1549194.2698548601),LILONGWE,502.6357606955988,502.6357606955988,502.0160667903748,505.87,false,false,1.6436096218488958,-3.428461736731947e-09,false
84.0,0.0,1.31,84.0,849330.0,1.0,1.0,5704.46,3226.86,0.00088,499.5,525.34,25.84,509.55,10.05,25.84,0.01,0.32,0.0,0.32,0.0,0.01,0.0,0.01,8400.0,4275.11,3855.44,3365.82,4371.0030927248745,4824.207678920789,499.5,505.67,503.18,509.27389055973265,507.3137401837928,12222000051.0,12222000050811.0,128.09,605.1089901241243,3.523931,909.2899999999996,1556.3000000000002,0.005085576559197813,0.004325089443749419,5.779064271815696,4.914874367897067,5.346969319856381,1.1034983485466503,1.177279567934536,1.1403889582405933,3.523931,0.43756382285932505,0.34445417344393,0.3910089981516275,1.3377422622638822,false,false,false,POINT (3833100.950283518 -1549348.756418241),LILONGWE,505.6808115036445,505.6808115036445,501.7813468576093,505.67,false,false,2.0907131169045328,-2.275657662309527e-09,false
115.0,565.81,1.31,115.0,849118.0,1.0,1.0,5710.4,3226.86,0.00088,499.5,537.61,38.11,512.1,12.6,38.11,0.01,0.31,0.0,0.31,0.0,0.01,0.0,0.01,11490.0,5775.99,5417.2,4914.9,5830.1284765002965,6637.07,499.5,505.27,503.17,509.0585513784461,501.36,12222000051.0,12222000050801.0,128.09,605.1089901241243,3.2941887,861.0900000000001,861.0799999999999,0.004180768456737401,0.009540408003193458,4.750873246292501,10.841372730901655,7.796122988597078,1.1308807725000667,3.0888736591878145,2.1098772158439405,6.950335792697786,0.37369131420490653,1.3699437057550303,0.8718175099799684,9.022672896537127,false,false,false,POINT (3833228.597557605 -1549518.9511047802),LILONGWE,504.9789047633474,504.9789047633474,501.5446642073022,505.27,false,false,6.796796531416295,-1.3114037855643801e-08,false
75.0,40.22,1.31,75.0,848912.0,1.0,1.0,5716.34,3226.86,0.00088,499.0,520.59,21.59,507.3,8.3,21.59,0.02,0.39,0.0,0.39,0.0,0.01,0.0,0.02,7500.0,3770.23,3301.84,2942.74,3809.178377542199,3841.996977114518,499.0,505.26,503.19,507.0070994152046,506.3954035087719,12222000051.0,12222000050791.0,128.09,605.1089901241243,4.5717535,827.4900000000002,374.7099999999996,0.005764411011516514,0.018638695610581762,6.550467058541493,21.18033592111564,13.865401489828566,0.8764970880188095,1.7951815886847986,1.3358393383518041,6.1071295063869115,0.45278031722401335,0.13379896935228786,0.2932896432881506,14.47339358432872,false,false,false,POINT (3833289.4175867797 -1549705.089669011),LILONGWE,,,501.2528704936131,505.26,false,false,4.066578656998812,-7.761498821423629e-08,false
