width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,partial_data_flag,lambda,lambda_diff,is_reflected
34.72,91491.21,1.02,34.72,820524.0,1.0,1.0,6535.08,17735.03,0.00114,474.5,478.3,3.8,475.74,1.24,3.8,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.0,6930.0,3527.3,3312.7,1512.14,3689.56,3846.59,475.0,477.07,476.02,476.48,475.8,12221800041.0,12221800040021.0,128.09,605.1089901241243,4.4660683,2015.16,319.28999999999996,0.0005831519079713,0.004330382701838,0.5115367613783605,3.798581317401766,2.1550590393900637,0.3417530968410855,0.2096458767404088,0.2756994867907472,4.4660683,0.2351061223134476,0.1522592030220421,0.1936826626677449,0.4173975753157972,False,False,False,POINT (3850743.3133133 -1560202.8318525488),LILONGWE,476.05740684805073,476.05740684805073,475.5437069860181,476.48,False,False,0.4173975729552601,-2.360537043610833e-09,False
127.0,184.96,1.5,127.0,820913.0,1.0,1.0,8135.88,2010.1,0.00114,474.5,483.37,8.87,476.39,1.89,8.87,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,25380.0,12757.03,12523.49,12320.68,,,475.0,476.57,476.2,,,12221800041.0,12221800040041.0,128.09,605.1089901241243,2.8082087,436.3500000000003,,0.0018243676257365,,1.6003224787163073,,1.6003224787163073,0.2936433892974976,,0.2936433892974976,2.8082087,0.1317565891737336,,0.1317565891737336,0.2108530324057611,False,False,True,POINT (3850497.8267276282 -1559909.2305796645),LILONGWE,475.317878953764,475.317878953764,475.7453877858339,476.57,True,True,0.2108530313737155,-1.0320455323675761e-09,False
141.0,937.44,1.5,141.0,821519.0,1.0,2.0,8108.57,2010.1,0.00114,474.5,495.7,21.2,479.86,5.36,21.2,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,28170.0,14168.66,14041.0,13565.18,14336.94,14458.79,475.0,477.06,476.18,477.58,477.11,12221800041.0,12221800040071.0,128.09,605.1089901241243,2.5269482,603.4799999999996,290.130000000001,0.0018494388595488,0.0038572014455705,1.6223147890779817,3.3835100399741385,2.50291241452606,0.3884886560888582,0.594270394795747,0.4913795254423025,2.5269482,0.348246157163014,0.185995106666599,0.2671206319148065,0.6685795499327968,False,False,False,POINT (3849971.45066238 -1559739.8693790813),LILONGWE,475.7475641572606,475.7475641572606,476.0783089012872,477.06,False,False,0.6685795457956153,-4.137181486285613e-09,False
175.0,1400.41,1.5,379.0,821937.0,2.0,2.0,8090.89,2010.1,0.00114,474.5,518.23,43.73,483.36,8.86,43.73,0.01,0.45,0.0,0.45,0.0,0.02,0.0,0.02,34980.0,17461.06,17343.3,17023.68,17587.23,17646.11,475.0,476.9,476.23,477.26,477.12,12221800041.0,12221800040091.0,128.09,605.1089901241243,2.4282575,437.380000000001,185.04999999999927,0.0020962392775912,0.0023777173509216,1.838806383851992,2.0857169744926733,1.9622616791723329,0.2343916957371951,0.3826460928699607,0.3085188943035779,2.4282575,0.2759180194027854,0.0576545115169978,0.1667862654598916,0.3272783007442074,False,False,False,POINT (3849729.925539904 -1560062.3695951116),LILONGWE,476.539778769009,476.539778769009,476.3308363724967,476.9,False,False,0.3272782973242094,-3.419998007014868e-09,False
129.0,1124.56,2.11,129.0,822326.0,1.0,1.0,8070.0,1616.84,0.00114,474.5,572.99,98.49,483.36,8.86,98.49,0.02,1.31,0.0,1.31,0.0,0.04,0.0,0.04,25770.0,12931.66,12750.33,12308.14,,,475.5,477.99,476.9,,,12221800041.0,12221800040111.0,128.09,605.1089901241243,2.537881,623.5200000000004,,0.0024650037258532,,2.1622839700466674,,2.1622839700466674,0.5459218052488124,,0.5459218052488124,2.537881,0.4294921629501272,,0.4294921629501272,0.9286840212711206,False,False,True,POINT (3849576.838771377 -1560436.5214846446),LILONGWE,,,476.60451487705154,477.99,True,True,0.9286840192077312,-2.0633893482724375e-09,False
87.0,392.0,2.11,87.0,822723.0,1.0,1.0,8050.72,1616.84,0.00114,474.5,515.89,41.39,480.53,6.03,41.39,0.01,0.37,0.0,0.37,0.0,0.01,0.0,0.01,17370.0,8714.75,8654.11,8275.07,9487.99,9927.67,475.5,477.39,476.68,478.72,478.65,12221800041.0,12221800040131.0,128.09,605.1089901241243,3.3218536,439.6800000000003,1212.92,0.0018731532242687,0.0001592066954167,1.643116863393635,0.1396549959796185,0.8913859296866268,0.1523782132684304,0.5527569655473655,0.352567589407898,3.3218536,0.2137360899950496,0.0210725722530487,0.1174043311240491,0.1046525691181854,False,False,False,POINT (3849424.4978046436 -1560826.2206167264),LILONGWE,,,476.88382173131447,477.39,False,False,0.1046525688482471,-2.699382661841554e-10,False
81.0,39.22,2.11,81.0,823125.0,1.0,1.0,8033.05,1616.84,0.00114,474.5,487.15,12.65,478.36,3.86,12.65,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.01,16200.0,8149.76,8066.49,7529.0,,,475.5,478.08,475.89,,,12221800041.0,12221800040151.0,128.09,605.1089901241243,3.364991,620.7600000000002,,0.0040744944016177,,3.5741178961558884,,3.5741178961558884,0.2714281923567874,,0.2714281923567874,3.364991,0.6508189769303983,,0.6508189769303983,2.3261037568629583,False,False,True,POINT (3849161.7973659527 -1561130.6286460818),LILONGWE,,,477.16664630414493,478.08,True,True,2.3261037526048027,-4.258155605896263e-09,False
109.0,1502.98,2.11,109.0,823511.0,1.0,1.0,8013.76,1616.84,0.00114,474.5,483.82,9.32,477.59,3.09,9.32,0.0,0.09,0.0,0.07,0.0,0.0,0.0,0.0,10890.0,5519.71,5225.0,4726.26,5791.75,6063.79,475.5,478.45,477.37,478.23,477.47,12221800041.0,12221800040171.0,128.09,605.1089901241243,2.8165274,793.4499999999998,544.0799999999999,0.0021654569471759,0.0027937067975528,1.8995236378736304,2.4506199978533996,2.1750718178635147,0.3592315356879362,0.2811211924725188,0.3201763640802275,2.8165274,0.3834509119279237,0.2698358269122434,0.3266433694200835,0.7104727893854567,False,False,False,POINT (3848821.860996706 -1561056.3338608625),LILONGWE,,,477.4382141775593,478.23,False,False,0.7104727873176047,-2.0678520007422208e-09,False
110.5,158.56,1.61,110.5,823914.0,1.0,1.0,7992.88,2025.06,0.00114,474.5,497.7,23.2,478.92,4.42,23.2,0.01,0.4,0.0,0.31,0.0,0.01,0.0,0.01,11040.0,5526.79,5664.68,6308.18,,,475.5,478.62,477.49,,,12221800041.0,12221800040191.0,128.09,605.1089901241243,2.8165274,781.3900000000003,,0.0017560217532928,,1.5403699590288495,,1.5403699590288495,0.318923716834063,,0.318923716834063,2.8165274,0.4012032689616282,,0.4012032689616282,0.618001463911001,False,False,True,POINT (3848877.6236437126 -1560674.382627397),LILONGWE,477.5087952113354,477.5087952113354,477.7217422941033,478.62,True,True,0.6180014629726638,-9.383371857296652e-10,False
71.0,195.22,1.1,71.0,824294.0,1.0,1.0,7971.99,2433.29,0.00114,474.5,481.05,6.55,477.97,3.47,6.55,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,7080.0,3544.35,3190.63,2910.6,3599.87119955412,4207.59,476.38,478.81,478.57,478.9100827067669,477.07,12221800041.0,12221800040211.0,128.09,605.1089901241243,3.8424513,633.75,663.2400000000002,0.0008570510271862,0.0030278521947797,0.7517991466545811,2.6560106971752515,1.7039049219149165,0.2775757440559492,0.1968980997296937,0.2372369218928215,3.8424513,0.0624601279917351,0.4788825057501314,0.2706713168709333,0.3250395905019554,False,False,False,POINT (3848923.379266712 -1560269.8487642866),LILONGWE,477.9043797170536,477.9043797170536,477.743428443828,478.5,False,False,0.4611981890375752,-7.176789718066344e-10,False
