width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,is_reflected,partial_data_flag,lambda_recalculated,lambda_diff
768.0,8430.666666666666,1.0142221465457957,2757.0,61882,2,4,53399.57604849845,1488.0950098519734,0.0007222660804702,33.5,105.36,71.86,55.30708821233411,21.807088212334115,71.86,0.00809791666667,0.2236666666694335,-0.0006541666666698,0.2236666666694335,-1.3031013812518038e-07,0.0055666666667247,-1.303101382413891e-07,0.0055666666667247,38400.00000000027,18823.927741935615,16425.785806451728,11869.316129032344,,,33.5,40.20207225806491,35.88219354838705,,,18140100051,18140100050571,1152.508,6582.087394235549,4.9869757,6954.611612903271,,0.0009480758162701969,,1.312640648516947,,1.312640648516947,1.0861997236081868,,1.0861997236081868,4.9869757,0.8662321554279597,,0.8662321554279597,1.1370515384939113,false,false,true,POINT (4878317.720938048 -2482771.001695854),MANGOKY,34.68783143015103,34.68783143015103,34.785220630975545,40.20207225806491,true,false,true,1.13705153826719,-2.2672130839396232e-10
595.0,564.56,1.0120721948647522,2757.0,61685,2,2,53403.1953367708,1757.8997025548772,0.0007222660804702,33.5,82.7,49.2,49.95751008064517,16.45751008064516,49.2,0.0063588967373036,0.0836666666666361,-0.0004860410359916,0.0836666666666361,-1.16722783396998e-06,0.0026888888888869,1.301907968373821e-06,0.0042888888888737,29729.999999999374,14573.837806451304,12283.92451612877,10860.464903225577,,,33.5,39.78539634409098,36.69108477419216,,,18140100051,18140100050561,1152.508,6582.087394235549,4.973021,3713.372903225727,,0.0021737965304221476,,3.0096893502280926,,3.0096893502280926,1.0381868744216391,,1.0381868744216391,4.973021,0.6222196869666976,,0.6222196869666976,1.872687966643728,false,false,true,POINT (4878220.68922978 -2482591.604817677),MANGOKY,35.7732390171424,35.7732390171424,34.62247121556398,39.78539634409098,true,false,true,1.8726879653659272,-1.2778007540958924e-09
926.0,10970.88888888889,1.010638893744057,2757.0,61507,2,3,53407.538482697615,1937.7694976901469,0.0007222660804702,33.0,176.04,143.04,62.132946891191715,29.13294689119171,143.04,0.0093249081875151,0.2376666666689438,-0.0021700151220572,0.2376666666689438,-7.205649219433578e-08,0.0060555555557221,-5.332180429330357e-07,0.0060555555557221,46290.00000000066,22788.019483871296,19993.497161290612,19098.79457552031,25211.22986445455,25444.826117534845,33.0,39.434480129035514,36.165507868323004,51.89849799045413,49.78059547401339,18140100051,18140100050551,1152.508,6582.087394235549,3.6199763,4143.602064516184,2987.2480000000432,0.0036536971157229473,0.009066508899208467,5.058658041014977,12.552865411187675,8.805761726101325,1.368489233084608,4.637137449079528,3.002813341082068,11.185907521417612,0.29224023660605286,0.18933667316537386,0.24078845488571338,2.1203257672504003,false,false,false,POINT (4878106.2216706695 -2482412.075509706),MANGOKY,,,34.48058153832721,39.434480129035514,false,false,false,2.1203257601196905,-7.130709800406976e-09
1071.5,16287.555555555557,1.010638893744057,2757.0,61294,2,3,53411.88162862444,1937.7694976901469,0.0007222660804702,32.5,231.7,199.2,68.02491601343785,35.52491601343785,199.2,0.0134147525676931,0.1803333333321004,-0.0033822595705011,0.1790000000039507,-6.851021451262593e-08,0.0057999999999212,-2.3044344804628154e-07,0.0060444444446512,53549.99999999851,26313.49994072768,24073.045507429095,22616.750125785016,30757.067900103208,34416.476807824234,33.0,39.74565149752348,37.46166582809736,51.384135800206714,42.14193383275778,18140100051,18140100050541,1152.508,6582.087394235549,3.6199763,3696.7498149426647,8102.976867096553,0.001568353300193312,0.0025255996796157746,2.171434243696317,3.4967718239953793,2.834103033845848,1.5013521751287031,4.716424136335114,3.108888155731909,11.254101443411102,0.20294695946279387,0.821229665817517,0.5120883126401554,1.4513110410639507,false,false,false,POINT (4878009.747832749 -2482216.4448433546),MANGOKY,,,34.31079220545399,39.74565149752348,false,false,false,1.4513110404504657,-6.134850405459247e-10
1045.0,4711.918367346938,1.010638893744057,2757.0,61099,2,4,53416.94863220573,1937.769497690147,0.0007222660804702,32.5,289.86,257.36,64.57631458094144,32.07631458094145,257.36,0.0128694237028557,0.401000000004571,-0.0047062990618402,0.401000000004571,-2.2669220942248938e-06,0.007933333333056,2.3052362709349906e-06,0.007933333333056,52229.99999999934,25787.633563271265,23436.559181663248,22098.87893005869,29476.388196483844,34340.68002050043,33.0,39.83032245500987,37.84448427976471,47.04898448190315,35.3162133196663,18140100051,18140100050531,1152.508,6582.087394235549,3.6199763,3688.754633212575,8553.046457229168,0.0014845387538453955,0.002412020410020698,2.0553903803414815,3.339517769476945,2.6974540749092135,1.567681862432362,3.561800450085509,2.5647411562589357,9.284302201548421,0.21389202248435737,1.2637213769582027,0.7388066997212801,1.9928971435330571,false,false,false,POINT (4877945.383458424 -2482004.8220552974),MANGOKY,,,34.15535126690809,39.83032245500987,false,false,false,1.9928971427333948,-7.996623363482058e-10
956.0,4254.13888888889,1.010638893744057,2757.0,60878,2,3,53421.29177813255,1937.7694976901469,0.0007222660804702,30.83,189.44,158.61,58.83188205771644,28.001882057716436,158.61,0.0109305293994639,0.2400000000028336,-0.0030267838459902,0.2400000000028336,-1.3679508649584238e-06,0.0077555555557398,1.3679508655748665e-06,0.0103000000001735,47789.99999999872,23924.393419354197,21238.28709677362,16264.016129031825,26610.499741934767,33077.05199999911,32.5,39.82,36.50945161290165,44.707501290325226,31.514952000009004,18140100051,18140100050521,1152.508,6582.087394235549,3.6199763,7660.377290322373,9152.658580644911,0.000665534388436368,0.002040121035413248,0.9214531963111167,2.824611442482687,1.8730323193969018,1.6134954060194395,2.9636427233348077,2.288569064677124,8.284565775273215,0.39960433375751336,1.5924249560178243,0.9960146448876688,1.8655676207544667,false,false,false,POINT (4877890.2465147665 -2481793.2725761863),MANGOKY,,,33.9791848698894,39.82,false,false,false,1.8655676204672318,-2.872349025295762e-10
830.0,6125.551020408164,1.0396784244217994,2757.0,60694,2,2,53426.35878171384,1727.9456247242654,0.0007222660804702,27.5,152.4,124.9,51.93120664739884,24.431206647398845,124.9,0.0096702819956565,0.2666666666676368,-0.0025977343938352,0.2666666666676368,-1.358739347252562e-06,0.006755555555604,1.3587393469746702e-06,0.006755555555604,41490.00000000028,20770.518580645297,23361.63600000015,29839.429548387292,18006.66000000012,12824.425161290405,32.5,42.41709599999994,28.994664387096822,39.78889999999983,36.05114967741965,18140100051,18140100050511,1152.508,6582.087394235549,4.9869757,9068.910967741997,7946.093419354893,0.002072068445925233,0.0007212622426793664,2.868843632496632,0.9986101551519904,1.933726893824311,1.721400728959693,1.194388736511563,1.4578947327356282,7.270485605456365,1.846153385247036,0.5140991297438322,1.180126257495434,2.282041882570758,false,false,false,POINT (4877849.872316989 -2481581.8390114275),MANGOKY,,,33.83251239454352,39.78889999999983,false,false,false,2.282041882227155,-3.436029238912397e-10
1051.5,4624.888888888889,1.0512942366928966,2757.0,60480,2,5,53430.701927640665,1644.016075537913,0.0007222660804702,29.77,296.86,267.09000000000003,64.87389617798061,35.10389617798061,267.09000000000003,0.0131002663622562,0.3326666666663435,-0.0048323820395692,0.232666666667287,-9.772193665772084e-07,0.0093555555555312,-1.002601687849802e-06,0.0131666666666948,52559.99999999889,26312.327225805893,29047.70787096713,35393.79096774118,23576.94658064466,19200.337548386684,32.5,42.259093677411435,30.264467096769657,39.54389316128989,36.91045006451606,18140100051,18140100050501,1152.508,6582.087394235549,3.6199763,9081.463741935288,7111.989677419209,0.0018900834413670075,0.0006017085549022577,2.6168796963808,0.8330843316226915,1.7249820140017458,2.3749237663577594,1.6248634645688933,1.9998936154633264,7.2395674906985406,1.6568153547919235,0.36375696478516084,1.0102861597885422,1.7427254549104818,false,false,false,POINT (4877831.025795113 -2481370.5734612555),MANGOKY,,,33.66192592865212,39.54389316128989,false,false,false,1.742725454630129,-2.8035285204452975e-10
918.0,11811.555555555557,1.0512942366928966,2757.0,60300,3,4,53435.04507356748,1644.016075537913,0.0007222660804702,31.5,109.93,78.43,56.54656862745098,25.04656862745098,78.43,0.0083289731850915,0.2813333333340155,-0.0005905820797927,0.2813333333340155,3.054101221698665e-07,0.0076333333333703,-3.054101223299137e-07,0.0092222222222669,45870.00000000005,23536.143612903248,21129.44981853942,20679.008517649567,24601.6015128987,24686.059256815548,32.0,36.7119974767012,36.01591592902669,38.83188219007356,38.07252050170136,18140100051,18140100050491,1152.508,6582.087394235549,3.6199763,5156.379870967743,,0.001545332421236819,0.008991024909791295,2.1395611160789905,12.448355464703642,7.293958290391316,0.6359424256948932,,0.6359424256948932,3.6199763,0.19228897926058514,0.20976979555700268,0.2010293874087939,1.4662999821530756,false,false,true,POINT (4877755.01084572 -2481175.1105547156),MANGOKY,33.273466113122915,33.273466113122915,33.51844198537898,35.820538494622596,false,false,false,1.46629996690266,-1.5250415597023448e-08
1272.0,2256.8,1.0512942366928963,2757.0,60079,4,4,53438.66436183984,1644.0160755379125,0.0007222660804702,30.82,142.79,111.97,67.69400471698113,36.87400471698113,111.97,0.009100676419693,0.2273333333312933,-0.0015002359603594,0.2273333333312933,-1.2590494196279674e-07,0.0070222222220837,1.2590494161828989e-07,0.0070222222220837,63570.00000000069,32088.768903226148,29699.48722177359,27209.453586969667,,,32.0,37.28173238217199,32.61621931447267,,,18140100051,18140100050481,1152.508,6582.087394235549,5.235151,6484.413419354911,,0.0018736747169252692,,2.594161303692255,,2.594161303692255,0.6952811225637531,,0.6952811225637531,5.235151,0.8911897799508199,,0.8911897799508199,2.3118900422786366,false,false,true,POINT (4877607.591846664 -2480999.2370626396),MANGOKY,33.94468866715423,33.94468866715423,33.34559128209593,36.985492946236214,true,false,true,2.3118900413944328,-8.842038212719672e-10
