width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,partial_data_flag,lambda,lambda_diff,is_reflected
42.0,5.0,1.069302913827636,42.0,238463,1,1,8396.449196515503,1107.3864581824853,0.0004502762320054,69.0,88.97,19.97,77.93521428571428,8.935214285714286,19.97,0.0072353643966524,0.1513333333330812,-0.0016057347670227,0.1513333333330812,-5.59552358320121e-07,0.0048888888888728,5.595523578739863e-07,0.0100222222221888,8369.999999999829,4262.818110967654,4142.940990967657,4079.135427096691,4649.518498064421,4829.334178064417,69.42647412641438,73.91196381419265,73.25115276387129,74.89438247741724,72.46288522838786,11738000201,11738000200501,126.41,596.4920007219715,5.652189,183.6826838709635,566.5160670967625,0.010356636629700147,0.013522164671664148,23.00062915507373,30.030820439800564,26.515724797437148,0.7821213792514363,0.9559334172799868,0.8690273982657115,5.652189,0.11691241222141664,0.4301868265603604,0.2735496193908885,7.253366498224128,false,false,false,POINT (4258396.751572727 -811684.731922116),RUVU_2,,,69.49126517560147,73.91196381419265,false,false,7.253366426212476,-7.201165264092424e-08,false
36.0,8.0,1.069302913827636,36.0,238246,1,1,8402.145331691881,1107.3864581824853,0.0004502762320054,68.5,81.46,12.959999999999994,76.72991666666667,8.229916666666666,12.959999999999994,0.0058214783821484,0.1483333333337404,-0.0003765690376598,0.1479999999998384,-2.6143790849111447e-06,0.0049333333333604,-2.6143790850801295e-06,0.0098777777777751,7170.000000000027,3736.263870967756,3865.1696774193697,4251.88709677421,,,70.90705290322981,74.70288086021498,72.40081720430106,,,11738000201,11738000200491,126.41,596.4920007219715,5.480403,515.6232258064538,,0.005952831537306,,13.220399199828538,,13.220399199828538,0.9649585576335448,,0.9649585576335448,5.480403,0.42005371793167623,,0.42005371793167623,5.55327785068621,false,false,true,POINT (4258577.162280928 -811738.8292900019),RUVU_2,,,69.41451812112587,74.70288086021498,true,true,5.553277836428935,-1.425727536030763e-08,false
30.0,27.918367346938776,1.068160569849134,30.0,238062,1,1,8408.790822730989,904.7080086709492,0.0004502762320054,68.5,80.53,12.03,75.97771144278607,7.477711442786069,12.03,0.006156666666671,0.1723333333344697,-0.0005266666666607,0.1723333333344697,5.5834729354860985e-08,0.0057444444445202,1.675041877460037e-07,0.0057444444445202,5999.999999999977,3115.225806451601,3990.451612903212,4592.258064516112,2060.1290322580576,1583.2258064516077,68.5,76.7804516129032,75.16150537634407,76.56658064516128,76.06322580645158,11738000201,11738000200481,126.41,596.4920007219715,5.1093297,1477.0322580645116,1531.9999999999932,0.0026901443637403037,0.0010554653657522484,5.974431188071329,2.3440397043643877,4.159235446217858,1.4543997583095678,1.4125408573498146,1.4334703078296913,7.324073851332685,0.22104449919829208,0.06872607362064037,0.14488528640946624,0.602612019936582,false,false,false,POINT (4258773.82710363 -811719.5783467399),RUVU_2,,,69.34944227769955,76.56658064516128,false,false,0.6026120188696785,-1.0669034544719125e-09,false
42.0,23.04,1.0681605698491343,42.0,237850,1,1,8413.537602044638,904.7080086709492,0.0004502762320054,68.5,85.83,17.33,76.49583629893239,7.995836298932384,17.33,0.0073273809523848,0.1243333333347017,-0.0015345238095238,0.1243333333347017,1.1947431334497092e-07,0.003188888888852,-1.1947431292059378e-07,0.0074000000001087,8400.000000000047,4293.57239098164,4387.67582434966,4539.059608463431,3990.8048227540976,3925.3415647589527,68.94416727870671,72.66232417565051,72.46321856436656,72.84624416048102,72.39968997590528,11738000201,11738000200471,126.41,596.4920007219715,5.652189,245.48721748179105,368.230826222687,0.0013152373692751735,0.006821447502466454,2.9209566834507052,15.14947274051242,9.035214711981563,0.5993890133056482,0.6319286103168085,0.6156588118112283,5.652189,0.03522628335392791,0.07900552946402636,0.05711590640897714,0.5160544850245996,false,false,false,POINT (4258955.230254573 -811783.9137581749),RUVU_2,,,69.27446358853446,72.66232417565051,false,false,0.5160544778745523,-7.150047331982989e-09,false
42.0,0.0,1.0553136449458378,42.0,237660,1,1,8418.284381358286,1152.2126438579194,0.0004502762320054,68.5,87.13,18.629999999999995,76.31982142857144,7.819821428571429,18.629999999999995,0.0075364396654704,0.1313333333327201,-0.0016606929510169,0.1236666666680911,-1.1191047166048418e-06,0.004311111111071,1.1191047164710477e-06,0.0085000000001249,8370.00000000026,4266.483220645293,4081.7663380646422,3958.6217496775416,4896.415153548538,5630.546353548561,69.30175828644575,72.78645807483632,72.16240425290401,75.0202504670942,71.58,11738000201,11738000200461,126.41,596.4920007219715,5.652189,307.8614709677513,1364.0631329032676,0.0050676511654979516,0.004686152097074671,11.25453844838334,10.407282827707574,10.830910638045456,0.6332399243657374,1.028448222787744,0.8308440735767407,5.652189,0.11040922763416211,0.6086580733755015,0.35953365050483177,3.894076858895148,false,false,false,POINT (4259106.249198589 -811930.3320514819),RUVU_2,71.83787261552229,71.83787261552229,69.20726570673554,72.78645807483632,false,false,3.894076839988099,-1.8907048815464123e-08,false
42.0,98.80555555555556,1.0467490283436405,42.0,237452,1,1,8423.980516534664,1317.215733982566,0.0004502762320054,68.0,81.14,13.14,75.256,7.256000000000001,13.14,0.0089689366786146,0.15400000000127,-0.0004026284348958,0.1473333333323418,-1.99840127525448e-07,0.0047333333334159,-1.998401280921922e-07,0.0100444444443861,8369.9999999998,4328.499716128928,4059.6080516128063,3498.4428387095936,4953.965109677301,5708.030864515993,69.25229150968264,73.58390885162065,71.56770477419359,75.38201950967817,71.08803086451599,11738000201,11738000200451,126.41,596.4920007219715,5.652189,830.0568774193348,1379.5311483870646,0.0035928885602214255,0.005694448543663544,7.9792987167449185,12.64656701576745,10.312932866256185,0.7873420995758833,1.1054684644110222,0.9464052819934528,5.652189,0.35671207693639795,0.7597036555504757,0.5582078662434369,5.756760258531485,false,false,false,POINT (4259272.463509769 -812034.3453937107),RUVU_2,71.26465711413857,71.26465711413857,69.13370170981884,73.58390885162065,false,false,5.756760249984676,-8.54680859418977e-09,false
40.5,179.0,1.0467490283436405,40.5,237257,1,1,8429.67665171104,1317.215733982566,0.0004502762320054,68.0,78.67,10.670000000000002,75.00866666666666,7.008666666666667,10.670000000000002,0.0081301115241645,0.1773333333337475,-0.0001201982651797,0.1773333333337475,5.389718077889289e-07,0.0050222222222457,-5.389718075807298e-07,0.0103777777777671,8070.000000000055,4192.234838709706,3657.7058064516377,3199.5380645161513,4650.402580645193,5536.193548387134,71.55757419356759,73.81,71.03302537634409,76.53329548387394,71.13,11738000201,11738000200441,126.41,596.4920007219715,5.660234,992.696774193555,1343.9587096774276,0.006061043507480047,0.006099966780591661,13.46072272232961,13.547165821798265,13.503944272063936,0.8383489152813193,1.319476551125757,1.0789127332035382,5.660234,0.4906112757274553,0.9546063791486266,0.7226088274380409,9.758069352191429,false,false,false,POINT (4259453.919571663 -812067.1254074576),RUVU_2,70.7987781037121,70.7987781037121,69.06474812751264,73.81,false,false,9.75806933622477,-1.5966659105970393e-08,false
42.0,20.0,1.0467490283436405,42.0,237072,1,1,8435.37278688742,1317.215733982566,0.0004502762320054,68.0,79.06,11.060000000000002,75.11396428571427,7.113964285714286,11.060000000000002,0.007602150537637,0.1529999999996661,0.0001971326164903,0.1526666666675043,-1.9984012782513098e-07,0.0044222222222029,-2.79776178813439e-07,0.0101888888889615,8369.99999999995,4332.239999999974,3967.919999999976,3302.6399999999803,4949.999999999971,5599.439999999967,69.86863999999412,73.40208,71.27648000000008,75.14000000000955,72.7140800000001,11738000201,11738000200431,126.41,596.4920007219715,5.652189,1029.599999999994,1267.1999999999923,0.0031950456902430386,0.003735402802836394,7.09574581810199,8.295802748015348,7.695774283058668,0.7789438020614727,1.0864210807816772,0.932682441421575,5.652189,0.376066688498902,0.4292000851368302,0.4026333868178661,3.0985756684372334,false,false,false,POINT (4259635.346428634 -812118.1760623889),RUVU_2,70.7987781037121,70.7987781037121,68.99934163142616,73.40208,false,false,3.098575663773747,-4.663486485867452e-09,false
42.0,8.64,1.1750589679846188,42.0,236878,1,1,8440.119566201069,1565.288250051335,0.0004502762320054,68.0,81.05,13.049999999999995,75.11907142857143,7.119071428571429,13.049999999999995,0.0107096774193581,0.2040000000020596,0.0007168458781417,0.2040000000020596,3.197442046551955e-07,0.005877777777904,-3.197442045670116e-07,0.0097999999999655,8369.999999999967,4296.186116129014,4084.849858064499,3159.197047741922,4532.882725161271,4689.271556129013,68.87842849031708,73.24766761290303,70.07985387354839,73.26234549677687,71.29978031483242,11738000201,11738000200421,126.41,596.4920007219715,5.652189,1136.9890683870926,393.0854399999989,0.0034222482777624304,0.012549266832233051,7.600330718147673,27.870151565278604,17.73524114171314,0.7637514545448443,0.7663483035314926,0.7650498790381685,5.652189,0.5604578578944621,0.3472221438356813,0.4538400008650717,8.048961897253456,false,false,false,POINT (4259801.881733148 -812024.0464736675),RUVU_2,,,68.9307992790392,73.24766761290303,false,false,8.048961855097346,-4.2156109714142076e-08,false
42.0,40.775510204081634,1.1750589679846188,42.0,236678,1,1,8446.765057240176,1565.288250051335,0.0004502762320054,68.0,79.58,11.579999999999998,74.46213523131672,6.462135231316727,11.579999999999998,0.0074369047619079,0.1693333333329431,-0.000322619047623,0.1680000000009521,-7.96495417092453e-08,0.0053111111111736,-7.964954226837538e-08,0.008788888888831,8400.000000000098,4328.781865556763,3713.469358307362,3179.83550246275,4628.270254040984,5728.209426292124,69.22067931240473,73.3391155971789,71.16978066995017,74.4781086220353,71.62775915273428,11738000201,11738000200411,126.41,596.4920007219715,5.652189,1148.946363094013,1399.427560735361,0.004065212316280029,0.002591370085380359,9.028263157872559,5.755067447906692,7.391665302889625,0.7924324088707767,0.9939459858836496,0.8931891973772131,5.652189,0.3838043857395307,0.5042912523450663,0.4440478190422985,3.2822528616981756,false,false,false,POINT (4259980.011553269 -811975.6134634337),RUVU_2,,,68.86013706008359,73.3391155971789,false,false,3.282252856838769,-4.8594066548446335e-09,false
36.0,89.0,1.1750589679846188,36.0,236451,1,1,8452.461192416555,1565.288250051335,0.0004502762320054,67.5,79.69,12.189999999999998,73.69622406639004,6.196224066390041,12.189999999999998,0.0053652777777798,0.1493333333335326,-0.0010069444444464,0.1490000000001987,-4.184100417818643e-07,0.0049666666666799,4.184100417105954e-07,0.004977777777791,7200.000000000115,3715.736321332006,3937.087400624413,4929.350859521412,3120.3782459938066,2624.2465165453077,67.5,73.47495119250763,71.34376609365249,73.10747836004225,71.01474883884846,11738000201,11738000200401,126.41,596.4920007219715,5.480403,1213.6145381894055,1091.4898047866982,0.0021478016524727897,0.004218092479797612,4.769964523570571,9.36778843735866,7.068876480464615,0.8566915415248,0.7896393985686636,0.8231654700467318,5.480403,0.3888737924665652,0.3818568673131864,0.3853653298898758,2.7240999213592914,false,false,false,POINT (4260128.459195289 -812110.8595841744),RUVU_2,,,68.77993544156895,73.10747836004225,false,false,2.724099916845031,-4.514260520949165e-09,false
30.0,5.0,1.1750589679846188,30.0,236263,1,1,8458.157327592933,1565.288250051335,0.0004502762320054,67.5,78.99,11.489999999999997,73.89915,6.399150000000001,11.489999999999997,0.0075276381909533,0.1619999999996783,-0.0007403685092143,0.1619999999996783,5.6116722926290247e-08,0.0052333333333125,-5.611672293134711e-08,0.010633333333291,5969.999999999929,3160.080307679462,3328.5862020395016,4722.175490530641,2968.8033465140115,2640.899984516097,69.1330098440829,73.30057468026395,70.90188300631299,72.7352412736738,71.38269995354862,11738000201,11738000200391,126.41,596.4920007219715,5.1093297,1562.0951828511788,519.1803231633648,0.0017212328567958726,0.004124816859941054,3.822615395731637,9.160636442146442,6.4916259189390395,0.8977813325947546,0.7871340796012939,0.8424577060980243,5.1093297,0.4694728692006241,0.264719914262955,0.36709639173178954,2.3830524568991387,false,false,false,POINT (4260300.829529469 -812150.7273948895),RUVU_2,,,68.71351295575066,72.7352412736738,false,false,2.3830524513150837,-5.584054996177201e-09,false
