width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,partial_data_flag,lambda,lambda_diff,is_reflected
214.0,272.8,1.0143466822385792,214.0,371,1,1,15456.808747636122,1595.0975048562707,0.0002116198461881,0.0,30.46,30.46,12.868185003503855,12.868185003503855,30.46,0.0102802711547506,0.4420000000045023,-0.0001956521739101,0.2153333333349784,1.0214424955215283e-06,0.0085888888892069,-1.0214424949359935e-06,0.0147333333332913,42779.99999999988,21502.838499133897,21322.108921298244,20719.6769951794,21638.38568251064,21788.99366404035,0.5,3.728412516969788,2.4193539903591117,6.714019979685242,3.89297676814883,11738000013,11738000010023,,,19.900057,783.1615039544959,286.15516490645314,0.0021729567569091,0.0187310338014781,10.268208752867515,88.51265199781378,49.39043037534065,0.2051630651055138,0.3551931535964848,0.2801781093509993,19.900057,0.065781647088281,0.1417605593560064,0.1037711032221437,5.12529948001431,False,False,False,POINT (4326774.763709071 -714083.0867011843),RUVU_2,-0.1844468451967067,-0.1844468451967067,-0.3543443780877142,3.728412516969788,False,False,5.125299448665578,-3.134873249877046e-08,False
237.0,234.16,1.0143466822385792,237.0,553,1,1,15452.061968322474,1595.0975048562707,0.0002116198461881,0.0,54.78,54.78,16.817582278481012,16.817582278481012,54.78,0.0090246991766938,0.1750000000004668,-0.0007971289845882,0.1750000000004668,-2.605266864724595e-07,0.0058333333333644,-2.60526686348171e-07,0.0058333333333644,47370.000000000895,23805.246353521776,23629.833839562605,23003.360575422717,,,0.5,4.8462789589789415,2.2,,,11738000013,11738000010033,,,19.90299,801.8857780990584,,0.0042240892089593,,19.960742269913347,,19.960742269913347,0.2598244141050546,,0.2598244141050546,19.90299,0.1329588649232573,,0.1329588649232573,2.6539576394559496,False,False,True,POINT (4326627.36116513 -714205.8643610461),RUVU_2,-0.0840942284031633,-0.0840942284031633,-0.3250040165342327,4.8462789589789415,True,True,2.6539576352333616,-4.222588056990162e-09,False
237.0,98.0,1.0143466822385792,237.0,763,1,1,15447.315189008825,1595.0975048562707,0.0002116198461881,0.0,68.37,68.37,19.11091081593928,19.11091081593928,68.37,0.0083084388185683,0.2683333333346024,-0.0011987341772157,0.1579999999978157,-5.48870593072416e-07,0.008033333333409,5.488705930837166e-07,0.0084555555555147,47400.00000000005,23801.11589028494,23606.410795057953,23022.295509376992,23937.40945694383,24054.232514080024,0.5,4.5908575736424,2.4422955093770176,5.24,4.21693005631981,11738000013,11738000010043,,,19.90299,778.820380907946,253.1166237950856,0.0036783184985174,0.0087574316235369,17.381727492835985,41.38284655850679,29.38228702567139,0.2452881230986318,0.2779034433968523,0.261595783247742,19.90299,0.1079517230459032,0.0514028265944056,0.0796772748201544,2.341100573473529,False,False,False,POINT (4326461.237769644 -714316.2742412963),RUVU_2,1.224403889401934,1.224403889401934,-0.291109732796561,4.5908575736424,False,False,2.341100558189079,-1.5284450149977147e-08,False
256.0,0.1388888888888889,1.0143466822385792,256.0,954,1,1,15441.619053832446,1595.0975048562707,0.0002116198461881,0.0,90.2,90.2,19.99169302870533,19.99169302870533,90.2,0.0094712778429042,0.4899999999978608,-0.0013642047674867,0.4899999999978608,-1.6272936662846475e-16,0.0163333333331907,3.327212980733265e-17,0.0163333333331907,51180.000000000546,25697.30546361123,25380.685391616335,24823.870782246013,25850.15653285014,26177.69453836209,0.5,4.509543072255874,2.5231179704097317,4.697332907421756,4.123323667097739,11738000013,11738000010053,,,19.90299,873.4346813652155,480.3890747508631,0.0035674802076853,0.0017524965924926,16.857966168798498,8.281343286370596,12.569654727584547,0.2396517941748027,0.2490870511754154,0.244369422675109,19.90299,0.0998053609958173,0.0288403521442766,0.064322856570047,0.8085160999600607,False,False,False,POINT (4326280.020344653 -714403.3730462244),RUVU_2,1.1878071071313734,1.1878071071313734,-0.2602444303390763,4.509543072255874,False,False,0.808516098177434,-1.7826267129095184e-09,False
228.0,58.333333333333336,1.009072818261907,228.0,1146,1,1,15435.922918656068,1118.6895553430095,0.0002116198461881,0.0,69.83,69.83,16.855875,16.855875,69.83,0.0068178626289202,0.2339999999994608,-0.0013993855606733,0.1599999999996507,-1.9030888596727546e-07,0.0076111111110739,1.9030888603895266e-07,0.0067888888888576,45569.99999999998,22875.908149299627,22581.998168371854,21815.27647899506,23080.367266466772,23412.61333186338,0.5,4.7293308911621725,2.51,4.824707912178624,3.6431822241823513,11738000013,11738000010063,,,19.924368,1060.6316703045668,536.7051825637536,0.0028945716796814,0.0035561766037159,13.67816739224262,16.804551500122585,15.241359446182605,0.2488666997153962,0.2536536528689165,0.2512601762921563,19.924368,0.1113877685436332,0.0593005353041197,0.0853441519238764,1.300760899014154,False,False,False,POINT (4326098.809398421 -714464.1245927446),RUVU_2,1.130894283291649,1.130894283291649,-0.2291810657795766,4.7293308911621725,False,False,1.300760896101418,-2.912736052351761e-09,False
195.0,251.80555555555551,1.0080180454665728,195.0,1351,1,1,15430.226783479691,1023.4079654403575,0.0002116198461881,0.0,46.5,46.5,15.957970791698694,15.957970791698694,46.5,0.0071056410256424,0.155666666667686,-0.0009687179487184,0.1546666666676794,9.665554700671757e-07,0.005155555555623,-9.665554700356275e-07,0.0062111111110598,39000.000000000866,19627.74635710581,19502.15778139164,18528.84631960684,19763.800647462824,20056.840657462548,0.5,5.101368874433583,2.4288463196068033,5.712771511637544,3.38,11738000013,11738000010073,,,19.904062,1098.90003749897,429.0943003567372,0.002745804048357,0.0079605904452403,12.9751726873309,37.61740965525776,25.296291171294328,0.2661437880411346,0.2968612670404706,0.2815025275408026,19.904062,0.1342702085045143,0.1172007759841957,0.125735492244355,3.180641631270745,False,False,False,POINT (4325917.59369385 -714541.089044491),RUVU_2,1.1122371438308924,1.1122371438308924,-0.1959738497958078,5.101368874433583,False,False,3.180641622379225,-8.891519964748795e-09,False
169.0,144.96,1.1553677140366043,169.0,1543,1,1,15424.530648303313,1074.0814121199332,0.0002116198461881,0.5,38.77,38.27,16.306007098491573,15.806007098491571,38.27,0.0093798105387787,0.1916666666667247,3.4635879218134505e-05,0.1560000000005107,1.6790123445454537e-07,0.005200000000034,2.469135799872906e-07,0.0063888888889121,33780.0000000005,17005.52698881631,16474.79502696656,15904.749586461272,17949.050476549197,19157.939945206963,0.5,5.070819892133189,2.4084168045129255,5.145252382746769,2.54,11738000013,11738000010083,,,20.457645,1100.777402355037,2152.4129563906536,0.0046705102677249,0.0021550790606889,22.070284767023008,10.183728508966722,16.127006637994864,0.255926521522144,0.2595648917732266,0.2577457066476853,20.457645,0.1301422078455395,0.1273485967102649,0.1287454022779022,2.076277960171174,False,False,False,POINT (4325751.46988864 -714644.6067279002),RUVU_2,1.1122371438308924,1.1122371438308924,-0.1648342871782154,5.070819892133189,False,False,2.076277957147049,-3.0241249504570082e-09,False
162.0,75.67346938775509,1.7447663883167297,162.0,1779,1,1,15419.783868989663,1276.7751988382354,0.0002116198461881,0.5,36.1,35.6,15.199666975023128,14.699666975023128,35.6,0.0096370370370328,0.2016666666661652,-0.0003734567901152,0.1626666666662524,-1.0297600661823936e-06,0.0066999999999666,-1.0297600655223808e-06,0.0061777777777466,32400.00000000021,16333.67328013344,16091.6092154519,15284.728999846768,17315.377542453018,18431.56184070679,0.5,6.148390784548025,2.429277332924614,5.268207485848917,2.562292106195449,11738000013,11738000010093,,,20.443855,1048.9442802866724,2097.8885605733485,0.0046092510078772,0.0024242550100933,21.78080690872572,11.455707268298983,16.618257088512355,0.3069241376771689,0.2638704545217452,0.2853972960994571,20.443855,0.1819184029442299,0.1323583727067849,0.1571383878255074,2.6113661302728395,False,False,False,POINT (4325583.17319753 -714803.1625036597),RUVU_2,,,-0.1263220890481912,5.268207485848917,False,False,2.611366127358642,-2.914197327896772e-09,False
153.5,117.13888888888889,1.7447663883167297,153.5,1961,1,1,15413.138377950556,1276.7751988382354,0.0002116198461881,0.0,34.97,34.97,6.37833984375,6.37833984375,34.97,0.0069071358748786,0.1913333333340758,-0.0010374714890842,0.1913333333340758,-2.1743857325316275e-08,0.0047444444444286,2.17438573547334e-08,0.0057333333333408,30689.999999999865,15454.599538042692,15827.799027219864,16189.689440967426,14957.000219139794,14380.23737222962,0.5,4.8103349546337695,3.897494824087324,6.876321426744534,2.820712116688547,11738000013,11738000010103,,,20.443855,735.0899029247339,1074.3621658130724,0.002522421410866,0.0070316757134253,11.919588149704898,33.227865155781,22.57372665274295,0.2400211074996508,0.3410777023079279,0.2905494049037894,20.443855,0.0446510763525981,0.1983779140507495,0.1215144952016738,2.743035004516109,False,False,False,POINT (4325404.114516796 -714874.3357820554),RUVU_2,,,-0.0966220040496132,4.8103349546337695,False,False,2.74303499902863,-5.487479359800318e-09,False
152.5,153.88888888888889,1.7447663883167297,152.5,2172,1,1,15407.44224277418,1276.7751988382354,0.0002116198461881,0.0,23.73,23.73,6.5969223205506395,6.5969223205506395,23.73,0.0059721128608892,0.1916666666661553,-0.0007785433070915,0.1373333333325838,-1.3136289018906636e-07,0.0057333333333027,1.313628897390434e-07,0.0063888888889694,30479.999999999694,15345.243987821565,15144.05563236172,14784.790711897713,15532.061746462849,15632.65592419277,0.5,4.990092720602676,3.8930542825301786,4.594432225241599,3.8239033177351938,11738000013,11738000010113,,,20.443855,560.4532759238518,287.41193637120523,0.0030535640206732,0.0076597763134499,14.429478499663375,36.1959260977892,25.31270229872629,0.2471296123650824,0.2277760963081762,0.2374528543366293,20.443855,0.0536610359480879,0.0376900006141897,0.0456755182811388,1.1561708057186937,False,True,False,POINT (4325229.979794031 -714821.5923512774),RUVU_2,,,-0.0621894879248881,4.594432225241599,False,False,1.156170796590497,-9.128196643004571e-09,False
