width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,partial_data_flag,lambda,lambda_diff,is_reflected
127.0,81.6,1.04,127.0,1955344.0,1.0,1.0,991.91,1320.84,0.00035,177.79,210.81,33.02,193.95,16.16,33.02,0.01,0.19,0.0,0.19,0.0,0.01,0.0,0.01,25380.0,12544.41,12432.39,11200.17,12742.43,12833.85,192.5,193.81,191.73,193.54,193.47,61549000601.0,61549000600521.0,106.79,496.62390934383177,2.7406633,1344.2399999999998,289.4400000000005,0.0016880102565386076,0.000765696775697838,4.822886447253165,2.187705073422394,3.5052957603377797,1.345342614876269,1.2468263536909752,1.296084484283622,3.5521324758600485,0.5855637463229463,0.01970647223202019,0.3026351092774832,1.0608255696627604,false,false,false,POINT (-7988438.763552774 802546.6451520876),V11_2,,,190.12286752413996,193.54,false,false,1.0608255654797225,-4.183037916050125e-09,false
107.5,666.0,1.06,107.5,1955156.0,1.0,1.0,992.24,1416.31,0.00035,180.68,206.64,25.96,194.09,13.41,25.96,0.01,0.25,0.0,0.17,0.0,0.01,0.0,0.01,21480.0,10594.8,10193.59,9473.47,10800.55,10882.85,192.5,195.86,192.11,193.45,193.32,61549000601.0,61549000600511.0,106.79,496.62390934383177,2.9101408,1121.33,288.0500000000011,0.005207465415198204,0.0015795868580851381,14.87847261485201,4.51310530881468,9.695788961833344,1.99441076310216,1.1662724229016843,1.580341593001922,4.599018128073482,0.8153914369480572,0.028266903147531657,0.4218291700477944,4.089966626561905,false,false,false,POINT (-7988273.253614547 802658.1569870684),V11_2,,,190.05598187192652,193.45,false,false,4.089966610728726,-1.583317921216576e-08,false
173.0,129.44,1.08,173.0,1954953.0,1.0,2.0,992.51,1511.77,0.00035,174.52,214.3,39.78,193.43,18.91,39.78,0.01,0.28,0.0,0.28,0.0,0.01,0.0,0.01,34590.0,17279.24,18181.4,18561.26,16567.02,16028.89,192.0,194.48,193.74,194.94,192.06,61549000601.0,61549000600501.0,106.79,496.62390934383177,2.3536232,1282.0199999999968,1250.3500000000022,0.0019480861318693743,0.005351866639377332,5.565960376769641,15.291047541078091,10.428503958923866,1.9103476253660858,2.1057908911176906,2.008069258241888,4.7262404014741435,0.15657265334390738,0.609363840041168,0.38296824669253765,3.9937858849367367,false,false,false,POINT (-7988111.086556109 802722.6071254158),V11_2,,,189.98375959852584,194.48,false,false,3.9937858767752603,-8.161476383605759e-09,false
192.0,451.67,1.08,192.0,1954779.0,1.0,1.0,992.9,1511.77,0.00035,169.96,230.45,60.49,194.61,24.65,60.49,0.01,0.32,0.0,0.27,0.0,0.01,0.0,0.01,38400.0,19277.25,19480.03,19682.82,18844.65,18290.38,192.0,193.28,193.36,197.27,194.78,61549000601.0,61549000600491.0,106.79,496.62390934383177,2.1105068,405.5699999999997,986.869999999999,-0.00039449676811240884,0.004492395394857401,1.127133623178311,12.835415413878287,6.981274518528299,1.5911550799509802,3.4816953565611914,2.5364252182560856,5.353145207246172,0.01,0.46514710578548724,0.23757355289274362,1.6585661944666916,false,false,false,POINT (-7987967.579714848 802861.4743770682),V11_2,,,189.92185479275383,193.28,false,false,1.6585661910863463,-3.3803453369785075e-09,false
150.5,22.47,1.08,150.5,1954566.0,1.0,1.0,993.24,1511.77,0.00035,175.17,226.44,51.27,194.86,19.69,51.27,0.01,0.25,0.0,0.25,0.0,0.01,0.0,0.01,30090.0,15070.8,14729.42,14236.32,15452.01,15545.49,192.0,201.65,193.65,193.31,193.29,61549000601.0,61549000600481.0,106.79,496.62390934383177,2.2031028,834.4799999999996,474.6900000000005,0.016223889644648357,0.0002139495056275227,46.35397041328102,0.6112843017929219,23.48262735753697,5.357861589683162,1.57229324741985,3.465077418551506,7.633925228105028,1.0479536753316934,0.01,0.5289768376658467,12.4217659861044,false,false,false,POINT (-7987874.658214152 803033.6650922316),V11_2,,,189.846074771895,193.31,false,false,12.421765959675405,-2.6428995880678485e-08,false
142.0,288.82,1.45,142.0,1954371.0,1.0,1.0,993.62,1484.77,0.00035,178.0,227.11,49.11,195.11,17.11,49.11,0.01,0.17,0.0,0.17,0.0,0.0,0.0,0.01,28380.0,14242.48,14024.87,13807.26,14548.55,14637.5,192.0,197.48,192.63,193.24,193.23,61549000601.0,61549000600471.0,106.79,496.62390934383177,2.4611814,435.21999999999935,395.0200000000005,0.02228757859341208,0.00011242270812362605,63.678795981177366,0.32120773749607445,32.00000185933672,3.1299188973312897,1.4071697016601437,2.2685442994957166,5.583301303539201,0.8686616996517142,0.01,0.43933084982585713,14.058588076109478,false,false,false,POINT (-7987828.220033595 803231.6443304714),V11_2,,,189.7766986964608,193.24,false,false,14.058588011291409,-6.48180691342759e-08,false
121.0,26.47,2.36,121.0,1954158.0,1.0,1.0,993.96,1417.27,0.00035,179.5,216.34,36.84,194.03,14.53,36.84,0.01,0.31,0.0,0.31,0.0,0.01,0.0,0.01,24180.0,12171.39,11876.8,11616.2,12454.65,12647.26,192.0,195.29,193.34,194.75,193.42,61549000601.0,61549000600461.0,106.79,496.62390934383177,2.7570512,555.1899999999987,475.8700000000008,0.007482732127848302,0.006905145076033765,21.379234650995148,19.72898593152504,20.554110291260095,2.027194597330447,1.8313332349666906,1.9292639161485687,5.319081324398013,0.3666046599166595,0.2500431783021357,0.3083239191093976,6.337323867124111,false,false,false,POINT (-7987810.556808263 803429.4497218415),V11_2,,,189.70091867560197,194.75,false,false,6.337323838808114,-2.831599665853446e-08,false
121.0,626.33,2.36,121.0,1953977.0,1.0,1.0,994.29,1417.27,0.00035,179.22,214.97,35.75,193.57,14.35,35.75,0.01,0.16,0.0,0.16,0.0,0.01,0.0,0.01,24180.0,12122.12,12234.49,12477.95,11944.21,11476.01,191.5,194.67,194.24,194.21,193.01,61549000601.0,61549000600451.0,106.79,496.62390934383177,2.7570512,355.8299999999999,646.1100000000006,0.0017662038866087769,0.0025630072563797793,5.04629681888222,7.322877875370798,6.184587347126509,1.825673287357671,1.6588284231218833,1.742250855239777,4.803476553390709,0.08951849670140416,0.2498190605620742,0.16966877863173918,1.049331384591352,false,false,false,POINT (-7987779.422106 803612.1300836399),V11_2,,,189.6365234466093,194.21,false,false,1.0493313815282628,-3.0630891156846474e-09,false
105.0,277.56,2.36,105.0,1953765.0,1.0,1.0,994.62,1417.27,0.00035,180.72,205.89,25.17,193.28,12.56,25.17,0.01,0.16,0.0,0.15,0.0,0.0,0.0,0.0,20970.0,10483.02,10625.72,11034.51,10141.23,9724.87,191.5,193.78,192.93,193.87,192.48,61549000601.0,61549000600441.0,106.79,496.62390934383177,2.9622269,551.4899999999998,758.1499999999996,0.002079307218671409,0.0033384570964107066,5.940877767632597,9.538448846887734,7.739663307260166,1.4242323487344632,1.4546148861482806,1.439423617441372,4.263900799503745,0.19934797734950163,0.3259925747244848,0.2626702760369932,2.0329795022206776,false,false,false,POINT (-7987615.139169477 803761.1487504077),V11_2,,,189.56109920049624,193.78,false,false,2.0329794973514157,-4.869261882589626e-09,false
150.5,127.81,2.36,150.5,1953555.0,1.0,1.0,994.95,1417.27,0.00035,177.0,274.7,97.7,196.66,19.66,97.7,0.02,0.78,0.0,0.61,0.0,0.01,0.0,0.05,30090.0,15055.3,15200.91,15482.43,14611.99,14285.17,191.5,196.86,193.29,195.6,192.51,61549000601.0,61549000600431.0,106.79,496.62390934383177,2.2031028,427.130000000001,770.1299999999992,0.01268115937524459,0.009454745702665872,36.23188392927025,27.01355915047392,31.62272153987209,3.3469206018005995,2.7750002047680042,3.0609604032843016,6.743613496125192,0.5293897703436452,0.45821131382685026,0.4938005420852477,15.615317090546927,false,false,false,POINT (-7987434.079392754 803799.7598370556),V11_2,,,189.48638650387483,195.6,false,false,15.615317038599677,-5.1947250057082783e-08,false
