width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,partial_data_flag,lambda,lambda_diff,is_reflected
43.5,158.25,1.09,43.5,1858107.0,1.0,1.0,1465.22,717.64,0.00031,148.73,152.82,4.09,150.02,1.29,4.09,0.01,0.1,0.0,0.1,0.0,0.0,0.0,0.0,4350.0,1661.51,1761.12,2947.39,1580.01,1272.13,150.64,152.48,148.73,152.05,150.72,61549000171.0,61549000170341.0,166.066,802.3019714025442,7.685655,1285.88,389.3799999999999,0.003161169039796,0.0043198648683907,10.197319483212985,13.93504796255085,12.066183722881917,0.0995112235014898,0.0435628438186132,0.0715370336600515,7.685655,0.4879219793238182,0.1730496620001824,0.3304858206620003,3.9877026387618826,False,False,False,POINT (-7932505.586830919 800310.0697924279),V11_2,,,151.71519096802842,152.05,False,False,3.9877026299151006,-8.84678197365929e-09,False
75.0,78.98,1.1,75.0,1858323.0,1.0,1.0,1463.75,802.52,0.00031,148.78,153.15,4.37,150.13,1.35,4.37,0.01,0.12,0.0,0.12,0.0,0.0,0.0,0.01,7500.0,3130.1,3239.39,4254.23,,,149.5,152.88,149.5,,,61549000171.0,61549000170351.0,166.066,802.3019714025442,7.087131,1124.1299999999997,,0.0033305742744367,,10.74378798205413,,10.74378798205413,0.1560274913725183,,0.1560274913725183,7.087131,0.4769207737235272,,0.4769207737235272,5.123935682098994,False,False,True,POINT (-7932694.119889873 800279.0002122064),V11_2,,,151.7742125730141,152.88,True,True,5.123935677122789,-4.976204337481249e-09,False
67.0,51.39,1.17,67.0,1858528.0,1.0,1.0,1462.03,2206.14,0.00031,148.75,152.3,3.55,149.82,1.07,3.55,0.0,0.09,0.0,0.06,0.0,0.0,0.0,0.0,6690.0,3056.65,3209.85,3850.48,2945.24,466.29,149.5,150.63,149.55,152.26,149.09,61549000171.0,61549000170361.0,166.066,802.3019714025442,9.181706,793.8299999999999,2590.36,0.0016858404981255,0.0012787672194764,5.43819515524357,4.125055546698324,4.7816253509709465,0.0,0.1775269021326857,0.0887634510663428,9.181706,0.1176251994999604,0.3452517429767395,0.23143847123835,1.106652062425965,False,False,False,POINT (-7932855.922003878 800167.8000101908),V11_2,,,150.63,150.63,False,False,1.1066520612632549,-1.162710372426545e-09,False
45.0,146.81,1.17,45.0,1858724.0,1.0,1.0,1460.3,2206.14,0.00031,149.0,152.29,3.29,150.2,1.2,3.29,0.0,0.07,0.0,0.05,0.0,0.0,0.0,0.0,4500.0,1924.9,2046.68,2608.74,1831.22,1390.94,150.0,150.89,149.61,152.28,150.61,61549000171.0,61549000170371.0,166.066,802.3019714025442,7.49356,683.8399999999997,533.96,0.002277336935065,0.003793040783608,7.346248177629048,12.23561543099367,9.79093180431136,0.0,0.1854925849005586,0.0927462924502793,7.49356,0.1708133383865576,0.2228580274262149,0.1968356829063862,1.9272047519867896,False,False,False,POINT (-7933049.140868569 800212.042794308),V11_2,,,150.89,150.89,False,False,1.9272047479914831,-3.995306308013369e-09,False
55.5,184.89,1.17,55.5,1858909.0,1.0,1.0,1458.83,2206.14,0.00031,148.81,152.01,3.2,150.1,1.29,3.2,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.0,5520.0,2441.64,2568.05,2981.73,2338.22,2131.38,150.0,151.11,149.74,151.99,150.69,61549000171.0,61549000170381.0,166.066,802.3019714025442,7.3548865,540.0900000000001,310.25999999999976,0.0033117385338625,0.0062850512169549,10.683027528588925,20.27435876437081,15.478693146479866,0.0,0.1196483290872899,0.0598241645436449,7.3548865,0.1862707194733738,0.1767532374564871,0.1815119784649305,2.809568228269373,False,False,False,POINT (-7933230.579995126 800231.4242929894),V11_2,,,151.11,151.11,False,False,2.809568217069121,-1.120025183709572e-08,False
71.5,182.89,1.17,71.5,1859117.0,1.0,1.0,1457.35,2206.14,0.00031,148.26,151.65,3.39,149.71,1.45,3.39,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.0,7140.0,3291.99,3381.17,4748.61,3113.62,2519.08,150.82,150.81,149.1,151.43,150.33,61549000171.0,61549000170391.0,166.066,802.3019714025442,7.3330593,1456.62,772.9099999999999,0.0012505119045438,0.0018501698761224,4.033909369496418,5.968289922975553,5.001099646235986,0.0,0.0845486024436488,0.0422743012218244,7.3330593,0.2331905320880206,0.1500056054367369,0.1915980687623787,0.9582010351381224,False,False,False,POINT (-7933405.959559495 800247.7927874986),V11_2,,,150.81,150.81,False,False,0.9582010339070304,-1.2310920061153752e-09,False
42.0,105.84,1.17,42.0,1859325.0,1.0,1.0,1455.88,2206.14,0.00031,148.8,152.24,3.44,150.17,1.37,3.44,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,4200.0,1560.5,1464.33,974.71,1639.19,2364.88,150.0,151.78,150.41,151.85,149.97,61549000171.0,61549000170401.0,166.066,802.3019714025442,7.694908,585.79,804.3800000000001,0.002798088307671,0.002590637872107,9.026091315068015,8.356896361635611,8.691493838351814,0.0,0.0090969236933137,0.0045484618466568,7.694908,0.1780398154207957,0.2443174109424044,0.2111786131816,1.8354576183978617,False,False,False,POINT (-7933549.959897996 800398.1842595735),V11_2,,,151.78,151.78,False,False,1.8354576152595583,-3.138303394933928e-09,False
42.0,135.47,1.17,42.0,1859536.0,1.0,1.0,1454.65,2206.14,0.00031,148.78,153.26,4.48,150.29,1.51,4.48,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,4170.0,1349.7,1054.55,637.88,1514.63,3285.51,150.0,151.41,150.72,152.09,148.85,61549000171.0,61549000170411.0,166.066,802.3019714025442,7.694908,711.82,1935.81,0.0016559867481316,0.0018295988424796,5.34189273590852,5.901931749934441,5.62191224292148,0.0,0.0883701158779144,0.0441850579389572,7.694908,0.0896696880586483,0.4210576656666992,0.2553636768626738,1.4356321833953187,False,False,False,POINT (-7933696.66021128 800564.7884607288),V11_2,,,151.41,151.41,False,False,1.4356321813517106,-2.0436081715757833e-09,False
65.0,87.25,1.26,65.0,1859724.0,1.0,1.0,1453.17,1691.75,0.00031,147.92,152.33,4.41,150.28,2.36,4.41,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,6480.0,2272.74,2151.33,1868.05,2367.16,2947.22,150.5,151.89,151.03,152.02,150.82,61549000171.0,61549000170421.0,166.066,802.3019714025442,7.9875975,404.6899999999998,674.48,0.0030358655639795,0.0020687515048982,9.793114722514597,6.673391951284604,8.2332533368996,0.0,0.0162752296575777,0.0081376148287888,7.9875975,0.1076669173678299,0.1502329079551163,0.1289499126614731,1.0616773016700871,False,False,False,POINT (-7933771.101503301 800746.9649791986),V11_2,,,151.89,151.89,False,False,1.0616772987129854,-2.9571016746388072e-09,False
42.0,120.69,1.31,42.0,1859931.0,1.0,1.0,1451.69,1434.56,0.00031,148.81,152.86,4.05,150.57,1.76,4.05,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,4170.0,1002.47,854.89,594.47,1097.96,1809.78,150.5,151.59,150.89,152.48,150.82,61549000171.0,61549000170431.0,166.066,802.3019714025442,7.694908,408.0,807.31,0.0026879655837188,0.0023320502341433,8.67085672167357,7.522742690785123,8.096799706229346,0.0,0.1156608869578556,0.0578304434789278,7.694908,0.090969248755153,0.2157270756193572,0.1533481621872551,1.241629357895336,False,False,False,POINT (-7933819.119650126 800941.0088520203),V11_2,,,151.59,151.59,False,False,1.2416293545485773,-3.346758647992942e-09,False
