channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope,discharge_value,corrected_discharge,XGB_depth,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,single_side_measurement,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,is_reflected,partial_data_flag,lambda,lambda_diff
91.02,0.0056666666666526,0.0001888888888879,1530.000000000069,3.983870967715802,102.04,0.0496666666663951,0.0016444444444264,2220.0000000001683,693.9838709678152,93.78,0.0,-0.0001111111111098,2460.0000000000286,929.9999999999598,94.05,0.0079999999999804,-0.0006888888888826,1380.000000000019,146.016129032334,90.03,0.0,-5.5555555556039776e-05,809.9999999999845,720.0000000000844,63.0,105.84,1.06465988631441,63.0,78848,1,1,3395.93073462134,2581.13392906694,1,61303300051,61303300050281,0.0074724023725389,105.116,488.17244570588855,2.550509,0.03441666652328393,0.007052631566573896,4.605836892532082,0.9438238487387051,2.7748303706353936,6.473912110373273,3.3412040901310354,4.907558100252154,12.516771102716021,0.6599146003562902,0.32116909121456205,0.49054184578542614,1.3611704168660628,false,POINT (-7974981.2473628 963970.9685216282),VENEZ_2022_N,,,85.52822889728398,94.05,false,false,1.3611704117529442,-5.113118595190258e-09
87.96,0.0023333333333099,7.777777777620734e-05,1349.9999999998454,4.080000000271866,92.29,0.0899999999990744,0.0021333333332893,1590.0000000004402,235.92000000032297,81.63,0.0026666666666395,-1.1111111110877464e-05,2940.000000000288,1590.0000000004425,,,,,,,,,,,52.5,147.0,1.06465988631441,52.5,78042,1,1,3396.56782076999,2581.13392906694,1,61303300051,61303300050241,0.0074724023725389,105.116,488.17244570588855,2.7697468,0.007896296290448086,,1.0567279298913288,,1.0567279298913288,3.6501161518104586,,3.6501161518104586,10.109897531105332,1.0544122694816804,,1.0544122694816804,1.1142268956067476,true,POINT (-7975262.077233158 964682.6190957386),VENEZ_2022_N,,,82.18010246889467,92.29,false,true,1.114226894781394,-8.253535632718467e-10
82.26,0.0039999999999516,-1.1111111110956831e-05,1290.0000000002833,6.957677418894718,86.35,0.0186666666664422,0.0003777777777685,660.0000000003216,636.9576774188564,84.92,0.0013333333333583,4.444444444610617e-05,449.99999999971567,840.0000000005676,85.71,0.0033333333332952,-0.0001111111111084,1620.0000000004345,323.0423225812565,81.49,0.002999999999966,9.999999999773156e-05,2070.0000000001505,779.9999999998672,43.5,44.0,1.0726329039512,43.5,77245,1,1,3397.25799743102,900.626985192509,1,61303300051,61303300050201,0.0074724023725389,105.116,488.17244570588855,2.9322114,0.006809523777077822,0.009377777756944188,0.9112897616572203,1.2549883276371128,1.0831390446471665,2.5511932503838666,2.3329279506854883,2.4420606005346777,7.160637932378634,0.19970287752350754,0.589332967237207,0.39451792238035727,0.4273177669493737,false,POINT (-7975225.091571925 965476.4659585292),VENEZ_2022_N,81.32753042351695,81.32753042351695,78.86936206762137,85.71,false,false,0.42731776554324513,-1.4061285469324503e-09
73.81,0.0093333333334278,-2.2222222212410743e-05,4769.999999999879,10.582580644843802,79.76,0.0313333333336671,0.0004777777777882,3989.999999999578,769.4174193554572,78.12,0.0013333333333466,-3.3333333331631774e-05,2519.999999999939,2249.99999999994,74.77,0.0239999999995168,0.0005333333333037,4830.000000000179,70.58258064514393,66.83,0.0036666666667037,-0.0001555555555588,8999.999999999789,4229.99999999991,157.0,1652.80555555556,1.02956761596329,335.0,76054,2,2,3398.24017191019,790.197028274745,1,61303300051,61303300050141,0.0074724023725389,105.116,488.17244570588855,0.9957909,0.0011156462577447328,0.001904076738152677,0.14930221930295615,0.2548145353026176,0.20205837730278686,5.685340348260333,0.6742481601312693,3.179794254195801,3.1664101822004653,0.5179366871730746,2.5075715220452497,1.5127541046091622,0.3056646397584995,false,POINT (-7975342.037090125 966605.0118746615),VENEZ_2022_N,,,74.09858981779954,74.77,false,false,0.3056646396354576,-1.2304190999401499e-10
70.61,0.0006666666666629,-0.0001222222222209,1110.0000000002156,1.692387096933771,78.19,0.0029999999999839,7.777777777694043e-05,689.9999999998831,418.30761290339865,76.67,0.0053333333334692,0.0001555555555641,269.99999999955054,840.0000000006651,75.5,0.1153333333327133,0.0025444444444165,1229.9999999999102,121.6923870966284,71.33,0.0033333333333156,-3.333333333301919e-05,2160.0000000001087,1049.9999999998931,36.0,78.2448979591837,1.01657396281934,36.0,75650,1,1,3398.6118054969,971.670428615106,1,61303300051,61303300050121,0.0074724023725389,105.116,488.17244570588855,3.1827686,0.0036190476104279636,0.004483870962919614,0.48432183252443334,0.6000574834403796,0.5421896579824065,1.793943613155926,0.9487674982476674,1.371355555701797,4.36470740212323,0.34824785717837253,0.9553905029169855,0.651819180047679,0.3534096188825298,false,POINT (-7975359.175625104 967016.9640290882),VENEZ_2022_N,,,72.48029259787677,75.5,false,false,0.3534096182964237,-5.861061080913998e-10
66.58,0.0013333333333239,-0.0001444444444424,1290.0000000002935,8.27148387079501,71.59,0.0169999999998828,0.0001555555555542,1050.0000000002462,248.2714838708423,69.15,0.005999999999959,-0.0029999999999821,30.00000000020601,1260.0000000000875,73.26,0.0119999999999175,0.0003444444444397,1950.000000000202,651.7285161291134,71.23,0.00033333333333,-0.0001333333333351,2490.000000000028,1199.9999999997349,42.0,131.76,1.07892013807419,42.0,74841,1,1,3399.24889164555,1760.02699592626,1,61303300051,61303300050081,0.0074724023725389,105.116,488.17244570588855,2.9488034,0.0023921568603997496,0.0037592592522988793,0.3201322334020626,0.503085763437227,0.4116089984196448,0.7970377164366756,1.3633691307317086,1.0802034235841922,2.9488034,0.8274542819639986,0.6884148329454589,0.7579345574547287,0.3119726845335797,false,POINT (-7975388.357106087 967779.8663712431),VENEZ_2022_N,,,69.2396924718433,71.59,false,false,0.31197268406157763,-4.720020485571297e-10
65.75,0.0166666666666613,-0.0020666666666597,2370.000000000341,2.4989677416824634,71.21,0.0019999999999951,1.1111111110944665e-05,2039.9999999999784,332.4989677420451,66.53,0.0009999999999975,-3.333333333331237e-05,930.0000000002868,1440.000000000054,72.17,0.0046666666666652,0.0001222222222221,3269.999999999773,897.5010322577496,68.99,0.0026666666666657,1.1111111111093603e-05,4860.000000000008,2489.999999999667,84.0,26.64,1.02002890167465,84.0,74428,1,2,3399.54088946368,671.696674574273,1,61303300051,61303300050061,0.0074724023725389,105.116,488.17244570588855,1.5689179,0.004216216212418987,0.0019999999987418467,0.5642383804054227,0.2676515394957654,0.4159449599505941,2.31029037515017,2.92217707744352,2.616233726296845,4.104655923770821,1.1401686491910925,0.7747299795785657,0.957449314384829,0.398246217050454,false,POINT (-7975677.934493078 968083.0841151675),VENEZ_2022_N,63.92092807403531,63.92092807403531,67.58534407622918,71.21,false,false,0.3982462167265215,-3.2393249194129226e-10
64.69,0.0273333333330592,-0.0006222222222132,3000.0000000002965,6.39677419377449,69.96,0.000333333333338,-7.777777777790455e-05,2699.999999999758,293.60322580676393,64.6,0.0013333333333532,-2.2222222221379764e-05,869.9999999998698,2130.0000000004266,70.5,0.0410000000006216,0.0002000000000354,3509.999999999851,516.3967741933288,68.04,0.0136666666665294,0.0002666666666561,5460.000000000052,2459.9999999997553,100.5,356.25,1.02362685863951,335.0,74030,2,2,3399.8859777942,1778.52282398042,1,61303300051,61303300050041,0.0074724023725389,105.116,488.17244570588855,2.2364926,0.0029289617470335326,0.0012615384608913854,0.39197056060544533,0.1688263557015536,0.28039845815349945,1.6735655790061124,1.9150150700529445,1.7942903245295283,4.012917033061882,1.3356867226109292,0.6130203988102385,0.9743535607105839,0.2732072362661477,false,POINT (-7975848.058677351 968448.1886766016),VENEZ_2022_N,63.61595293946379,63.61595293946379,66.21708296693811,69.96,false,false,0.27320723611961983,-1.465278454126917e-10
63.76,0.0,-0.00086666666666,1920.000000000124,11.467741935682398,68.39,0.0036666666666584,7.777777777757917e-05,2130.0000000002474,221.46774193580583,67.44,0.0016666666666928,-0.0003222222222255,2309.9999999997613,389.99999999963734,68.74,0.0106666666666427,0.0001888888888855,1709.9999999999054,198.5322580645361,63.42,0.0023333333333701,1.649085960405444e-15,89.99999999975708,1830.0000000003668,63.0,498.16,1.02362685863951,63.0,73652,1,1,3400.15143035614,1778.52282398042,1,61303300051,61303300050021,0.0074724023725389,105.116,488.17244570588855,2.550509,0.005277777748471059,0.0032839506152565158,0.7063026701917053,0.4394772191772011,0.5728899446844532,1.374614585051213,1.5118420953246503,1.4432283401879316,3.680966870704381,0.2580843657031374,1.4452724479375634,0.8516784068203505,0.4879179971587284,false,POINT (-7976135.941453417 968709.9034682001),VENEZ_2022_N,63.46257860759185,63.46257860759185,64.88403312929562,68.39,false,false,0.4879179953722538,-1.786474634890567e-09
62.82,0.0086666666666434,0.0002222222222212,2820.000000000039,4.26580645162403,65.95,0.0,-5.5555555555255966e-05,3180.0000000000264,364.2658064516113,64.82,0.0029999999999921,9.999999999947326e-05,3389.999999999972,569.9999999999327,66.46,0.0013333333333499,-2.2222222221550455e-05,2429.99999999987,385.73419354854514,59.86,0.0019999999999947,1.1111111111049397e-05,359.9999999999865,2460.0000000000528,90.0,215.0,1.16263291027553,90.0,72863,1,1,3400.7354259924,2384.95790825337,1,61303300041,61303300040921,0.0013154173120773,112.196,523.9943668063695,2.4484103,0.005380952355330242,0.0031884057955613334,4.090680809752056,2.423873979981471,3.2572773948667635,1.5387339565381513,1.7470323777627277,1.6428831671504394,4.022452068147757,0.28092317344140477,1.6407902165604018,0.9608566950009033,3.1297768022538617,false,POINT (-7976791.729542588 969255.5573617255),VENEZ_2022_N,62.53383132718385,62.53383132718385,62.18254793185224,65.95,false,false,3.1297767923328306,-9.921031107751332e-09
